# Data on narural occurring isotopes
#
# Format:
#
# Z	name	number_of_isotopes
#		isotope_name	pdg_code	A	natural_abundance(%)
#       	...             ...             ...     ...
#
	104Pd	1000461040	103.904029	11.14
	105Pd	1000461050	104.905079	22.33
	106Pd	1000461060	105.903478	27.33
	108Pd	1000461080	107.903895	26.46
	110Pd	1000461100	109.905167	11.72
47	Ag	2
	107Ag	1000471070	106.905092	51.839
	109Ag	1000471090	108.904756	48.161
48	Cd	8
	106Cd	1000481060	105.906461	1.25
	108Cd	1000481080	107.904176	0.89
	110Cd	1000481100	109.903005	12.49
	111Cd	1000481110	110.904182	12.8
	112Cd	1000481120	111.902757	24.13
	113Cd	1000481130	112.9044	12.22
	114Cd	1000481140	113.903357	28.73
	116Cd	1000481160	115.904755	7.49
49	In	2
	113In	1000491130	112.904061	4.29
	115In	1000491150	114.903882	95.71
50	Sn	10
	112Sn	1000501120	111.904826	0.97
	114Sn	1000501140	113.902784	0.66
	115Sn	1000501150	114.903348	0.34
	116Sn	1000501160	115.901747	14.54
	117Sn	1000501170	116.902956	7.68
	118Sn	1000501180	117.901609	24.22
	119Sn	1000501190	118.903311	8.59
	120Sn	1000501200	119.9021991	32.58
	122Sn	1000501220	121.9034404	4.63
	124Sn	1000501240	123.9052743	5.79
51	Sb	2
	121Sb	1000511210	120.9038212	57.21
	123Sb	1000511230	122.904216	42.79
52	Te	8
	120Te	1000521200	119.904048	0.09
	122Te	1000521220	121.90305	2.55
	123Te	1000521230	122.904271	0.89
	124Te	1000521240	123.902818	4.74
	125Te	1000521250	124.9044285	7.07
	126Te	1000521260	125.9033095	18.84
	128Te	1000521280	127.904463	31.74
	130Te	1000521300	129.906229	34.08
53	I	1
	127I	1000531270	126.904473	100
54	Xe	9
	124Xe	1000541240	123.9058942	0.09
	126Xe	1000541260	125.904281	0.09
	128Xe	1000541280	127.9035312	1.92
	129Xe	1000541290	128.9047801	26.44
	130Xe	1000541300	129.9035094	4.08
	131Xe	1000541310	130.905072	21.18
	132Xe	1000541320	131.904144	26.89
	134Xe	1000541340	133.905395	10.44
	136Xe	1000541360	135.907214	8.87
55	Cs	1
	133Cs	1000551330	132.905429	100
56	Ba	7
	130Ba	1000561300	129.906282	0.106
	132Ba	1000561320	131.905042	0.101
	134Ba	1000561340	133.904486	2.417
	135Ba	1000561350	134.905665	6.592
	136Ba	1000561360	135.904553	7.854
	137Ba	1000561370	136.905812	7.854
	138Ba	1000561380	137.905232	71.698
57	La	2
	138La	1000571380	137.907105	0.09
	139La	1000571380	138.906347	99.91
58	Ce	4
	136Ce	1000581360	135.90714	0.185
	138Ce	1000581380	137.905985	0.251
	140Ce	1000581400	139.905433	88.45
	142Ce	1000581420	141.909241	11.114
59	Pr	1
	141Pr	1000591410	140.907647	100
60	Nd	7
	142Nd	1000601420	141.907719	27.2
	143Nd	1000601430	142.90981	12.2
	144Nd	1000601440	143.910083	23.8
	145Nd	1000601450	144.91257	8.3
	146Nd	1000601460	145.913113	17.2
	148Nd	1000601480	147.916889	5.7
	150Nd	1000601500	149.920887	5.6
61	Pm	1
	145Pm	1000611450	145		100
62	Sm	7
	144Sm	1000621440	143.911998	3.07
	147Sm	1000621470	146.914894	14.99
	148Sm	1000621480	147.914819	11.24
	149Sm	1000621490	148.91718	13.82
	150Sm	1000621500	149.917273	7.38
	152Sm	1000621520	151.919728	26.75
	154Sm	1000621540	153.922205	22.75
63	Eu	2
	151Eu	1000631510	150.919702	47.81
	153Eu	1000631530	152.921225	52.19
64	Gd	7
	152Gd	1000641520	151.919786	0.2
	154Gd	1000641540	153.920861	2.18
	155Gd	1000641550	154.922618	14.8
	156Gd	1000641560	155.922118	20.47
	157Gd	1000641570	156.923956	15.65
	158Gd	1000641580	157.924019	24.84
	160Gd	1000641600	159.927049	21.86
65	Tb	1
	159Tb	1000651590	158.925342	100
66	Dy	7
	156Dy	1000661560	155.924277	0.06
	158Dy	1000661580	157.924403	0.1
	160Dy	1000661600	159.925193	2.34
	161Dy	1000661610	160.92693	18.91
	162Dy	1000661620	161.926795	25.51
	163Dy	1000661630	162.928728	24.9
	164Dy	1000661640	163.929171	28.18
67	Ho	1
	165Ho	1000671650	164.930319	100
68	Er	6
	162Er	1000681620	161.928775	0.14
	164Er	1000681640	163.929198	1.61
	166Er	1000681660	165.93029	33.61
	167Er	1000681670	166.932046	22.93
	168Er	1000681680	167.932368	26.78
	170Er	1000681700	169.935461	14.93
69	Tm	1
	169Tm	1000691690	168.934212	100
70	Yb	7
	168Yb	1000701680	167.933894	0.13
	170Yb	1000701700	169.934759	3.04
	171Yb	1000701710	170.936323	14.28
	172Yb	1000701720	171.936378	21.83
	173Yb	1000701730	172.938208	16.13
	174Yb	1000701740	173.938859	31.83
	176Yb	1000701760	175.942564	12.76
71	Lu	2
	175Lu	1000711750	174.94077	97.41
	176Lu	1000711760	175.942679	2.59
72	Hf	6
	174Hf	1000721740	173.940044	0.16
	176Hf	1000721760	175.941406	5.26
	177Hf	1000721770	176.943217	18.6
	178Hf	1000721780	177.943696	27.28
	179Hf	1000721790	178.9458122	13.62
	180Hf	1000721800	179.9465457	35.08
73	Ta	2
	180Ta	1000731800	179.947462	0.012
	181Ta	1000731810	180.947992	99.988
74	W	5
	180W	1000741800	179.946701	0.12
	182W	1000741820	181.948202	26.5
	183W	1000741830	182.95022	14.31
	184W	1000741840	183.950928	30.64
	186W	1000741860	185.954357	28.43
75	Re	2
	185Re	1000751850	184.952951	37.4
	187Re	1000751870	186.955744	62.6
76	Os	7
	184Os	1000761840	183.952488	0.02
	186Os	1000761860	185.95383	1.59
	187Os	1000761870	186.955741	1.96
	188Os	1000761880	187.95583	13.24
	189Os	1000761890	188.958137	16.15
	190Os	1000761900	189.958436	26.26
	192Os	1000761920	191.961467	40.78
77	Ir	2
	191Ir	1000771910	190.960584	37.3
	193Ir	1000771930	192.962917	62.7
78	Pt	6
	184Pt	1000781840	189.959917	0.014
	186Pt	1000781860	191.961019	0.782
	188Pt	1000781880	193.962655	32.967
	189Pt	1000781890	194.964766	33.832
	190Pt	1000781900	195.964926	25.242
	192Pt	1000781920	197.967869	7.163
79	Au	1
	197Au	1000791970	196.966543	100
80	Hg	7
	196Hg	1000801960	195.965807	0.15
	198Hg	1000801980	197.966743	9.97
	199Hg	1000801990	198.968254	16.87
	200Hg	1000802000	199.9683	23.1
	201Hg	1000802010	200.970277	13.18
	202Hg	1000802020	201.970617	29.86
	204Hg	1000802040	203.973467	6.87
81	Tl	2
	203Tl	1000812030	202.97232	29.524
	205Tl	1000812050	204.974401	70.476
82	Pb	4
	204Pb	1000822040	203.97302	1.4
	206Pb	1000822060	205.97444	24.1
	207Pb	1000822070	205.97587	22.1
	208Pb	1000822080	205.97663	52.4
83	Bi	1
	209Bi	1000832090	208.980374	100
84	Po	1
	209Po	1000842090	209		100
85	At	1
	210At	1000852100	209.99		100
86	Rn	1
	222Rn	1000862220	222		100
87	Fr	1
	223Fr	1000872230	223		100
88	Ra	1
	226Ra	1000882260	226		100
89	Ac	1
	227Ac	1000892270	227.03		100
90	Th	1
	232Th	1000902320	232.0381	100
91	Pa	1
	231Pa	1000912310	231.03588	100
92	U	3
	234U	1000922340	234.0409468	0.0055
	235U	1000922350	235.0439242	0.72
	238U	1000922380	238.0507847	99.2745
93	Np	1
	237Np	1000932370	237.05		100
94	Pu	1
	244Pu	1000942440	244.06		100
95	Am	1
	243Am	1000952430	243.06		100
96	Cm	1
	247Cm	1000962470	247.07		100
97	Bk	1
	247Bk	1000972470	247.07		100
98	Cf	1
	251Cf	1000982510	251.08		100
99	Es	1
	252Es	1000992520	252.08		100
100	Fm	1
	257Fm	1001002570	257.1		100
101	Md	1
	258Md	1001012580	258.1		100
102	No	1
	259No	1001022590	259.1		100
103	Lw	1
	262Lw	1001032620	262.11		100
