# Provided & maintained by Steve Dytman
#
# data used in GENIE for pN and nN total cross sections where N is average of p and n
# use PWA results of Arndt, et al. for pp elas, np elas, pp reac, and np reac
# no nn results, assume nn same as np for now, can be improved later
# KE is CM energy in MeV, cross sections CM all mb
#
# KE     pN tot     pN elas     pN reac      nN tot      nN elas     nN reac  
 885.  0.4253E+02  0.2456E+02  0.1797E+02  0.3878E+02  0.2511E+02  0.1367E+02
 900.  0.4253E+02  0.2440E+02  0.1813E+02  0.3877E+02  0.2489E+02  0.1388E+02
 915.  0.4253E+02  0.2425E+02  0.1828E+02  0.3876E+02  0.2467E+02  0.1409E+02
 930.  0.4253E+02  0.2409E+02  0.1843E+02  0.3875E+02  0.2445E+02  0.1430E+02
 945.  0.4252E+02  0.2394E+02  0.1858E+02  0.3874E+02  0.2424E+02  0.1450E+02
 960.  0.4252E+02  0.2379E+02  0.1873E+02  0.3875E+02  0.2404E+02  0.1471E+02
 975.  0.4252E+02  0.2365E+02  0.1888E+02  0.3876E+02  0.2385E+02  0.1491E+02
 990.  0.4251E+02  0.2351E+02  0.1901E+02  0.3877E+02  0.2367E+02  0.1510E+02
1005.  0.4252E+02  0.2336E+02  0.1916E+02  0.3879E+02  0.2349E+02  0.1530E+02
1020.  0.4251E+02  0.2323E+02  0.1928E+02  0.3881E+02  0.2333E+02  0.1548E+02
1035.  0.4252E+02  0.2310E+02  0.1942E+02  0.3884E+02  0.2317E+02  0.1567E+02
1050.  0.4253E+02  0.2297E+02  0.1956E+02  0.3887E+02  0.2302E+02  0.1585E+02
1065.  0.4254E+02  0.2285E+02  0.1968E+02  0.3891E+02  0.2289E+02  0.1602E+02
1080.  0.4253E+02  0.2274E+02  0.1980E+02  0.3894E+02  0.2276E+02  0.1618E+02
1095.  0.4255E+02  0.2263E+02  0.1992E+02  0.3899E+02  0.2265E+02  0.1634E+02
1110.  0.4256E+02  0.2253E+02  0.2003E+02  0.3903E+02  0.2254E+02  0.1649E+02
1125.  0.4258E+02  0.2243E+02  0.2015E+02  0.3909E+02  0.2245E+02  0.1664E+02
1140.  0.4257E+02  0.2233E+02  0.2024E+02  0.3913E+02  0.2236E+02  0.1677E+02
1155.  0.4260E+02  0.2225E+02  0.2035E+02  0.3919E+02  0.2229E+02  0.1690E+02
1170.  0.4261E+02  0.2216E+02  0.2044E+02  0.3924E+02  0.2222E+02  0.1702E+02
1185.  0.4262E+02  0.2209E+02  0.2053E+02  0.3930E+02  0.2217E+02  0.1713E+02
1200.  0.4263E+02  0.2201E+02  0.2062E+02  0.3936E+02  0.2212E+02  0.1724E+02
1215.  0.4265E+02  0.2194E+02  0.2070E+02  0.3941E+02  0.2208E+02  0.1733E+02
1230.  0.4265E+02  0.2188E+02  0.2077E+02  0.3947E+02  0.2205E+02  0.1742E+02
1245.  0.4267E+02  0.2183E+02  0.2085E+02  0.3953E+02  0.2203E+02  0.1750E+02
1260.  0.4267E+02  0.2176E+02  0.2091E+02  0.3958E+02  0.2201E+02  0.1757E+02
1275.  0.4268E+02  0.2172E+02  0.2097E+02  0.3963E+02  0.2200E+02  0.1763E+02
1290.  0.4269E+02  0.2167E+02  0.2103E+02  0.3969E+02  0.2200E+02  0.1769E+02
1305.  0.4270E+02  0.2162E+02  0.2108E+02  0.3974E+02  0.2200E+02  0.1774E+02
1320.  0.4270E+02  0.2158E+02  0.2112E+02  0.3978E+02  0.2200E+02  0.1778E+02
1335.  0.4269E+02  0.2154E+02  0.2115E+02  0.3982E+02  0.2201E+02  0.1781E+02
1350.  0.4269E+02  0.2150E+02  0.2119E+02  0.3986E+02  0.2202E+02  0.1784E+02
1365.  0.4269E+02  0.2147E+02  0.2123E+02  0.3990E+02  0.2204E+02  0.1786E+02
1380.  0.4269E+02  0.2143E+02  0.2125E+02  0.3993E+02  0.2206E+02  0.1787E+02
1395.  0.4268E+02  0.2140E+02  0.2127E+02  0.3996E+02  0.2208E+02  0.1788E+02
1410.  0.4267E+02  0.2138E+02  0.2129E+02  0.3999E+02  0.2211E+02  0.1788E+02
1425.  0.4265E+02  0.2134E+02  0.2131E+02  0.4001E+02  0.2213E+02  0.1788E+02
1440.  0.4264E+02  0.2132E+02  0.2132E+02  0.4003E+02  0.2216E+02  0.1787E+02
1455.  0.4263E+02  0.2130E+02  0.2133E+02  0.4005E+02  0.2219E+02  0.1786E+02
1470.  0.4261E+02  0.2127E+02  0.2133E+02  0.4006E+02  0.2222E+02  0.1784E+02
1485.  0.4258E+02  0.2125E+02  0.2133E+02  0.4007E+02  0.2225E+02  0.1782E+02
1500.  0.4256E+02  0.2123E+02  0.2133E+02  0.4007E+02  0.2228E+02  0.1779E+02
1515.  0.4253E+02  0.2120E+02  0.2133E+02  0.4007E+02  0.2231E+02  0.1776E+02
1530.  0.4250E+02  0.2119E+02  0.2132E+02  0.4007E+02  0.2234E+02  0.1773E+02
1545.  0.4248E+02  0.2117E+02  0.2131E+02  0.4006E+02  0.2237E+02  0.1769E+02
1560.  0.4245E+02  0.2115E+02  0.2130E+02  0.4005E+02  0.2240E+02  0.1765E+02
1575.  0.4241E+02  0.2112E+02  0.2128E+02  0.4004E+02  0.2243E+02  0.1761E+02
1590.  0.4238E+02  0.2111E+02  0.2127E+02  0.4002E+02  0.2246E+02  0.1756E+02
1605.  0.4234E+02  0.2109E+02  0.2125E+02  0.4000E+02  0.2249E+02  0.1751E+02
1620.  0.4231E+02  0.2108E+02  0.2123E+02  0.3998E+02  0.2252E+02  0.1746E+02
1635.  0.4226E+02  0.2106E+02  0.2121E+02  0.3995E+02  0.2254E+02  0.1741E+02
1650.  0.4223E+02  0.2104E+02  0.2119E+02  0.3993E+02  0.2257E+02  0.1736E+02
1665.  0.4219E+02  0.2103E+02  0.2116E+02  0.3990E+02  0.2260E+02  0.1730E+02
1680.  0.4214E+02  0.2101E+02  0.2114E+02  0.3988E+02  0.2263E+02  0.1725E+02
1695.  0.4210E+02  0.2099E+02  0.2111E+02  0.3984E+02  0.2265E+02  0.1719E+02
1710.  0.4206E+02  0.2098E+02  0.2108E+02  0.3981E+02  0.2268E+02  0.1713E+02
1725.  0.4201E+02  0.2096E+02  0.2105E+02  0.3977E+02  0.2270E+02  0.1707E+02
1740.  0.4197E+02  0.2094E+02  0.2102E+02  0.3973E+02  0.2272E+02  0.1701E+02
1755.  0.4193E+02  0.2094E+02  0.2099E+02  0.3970E+02  0.2275E+02  0.1695E+02
1770.  0.4188E+02  0.2092E+02  0.2095E+02  0.3965E+02  0.2277E+02  0.1688E+02
1785.  0.4183E+02  0.2091E+02  0.2092E+02  0.3961E+02  0.2279E+02  0.1682E+02
1800.  0.4178E+02  0.2090E+02  0.2089E+02  0.3957E+02  0.2281E+02  0.1676E+02

