# Provided & maintained by Steve Dytman
#
# Data used in GENIE for piN total cross sections where N is either p or n
# use PWA results of Arndt, et al. for pi+p elas, pi-p elas, pi-p cex, and pi_d->pp
# pi+N and pi-N are identical because of isospin relations
# pi0N calculated from isospin relns for elas and cex, avg of pi+ and pi- for others
# KE is CM energy in MeV, cross sections CM all mb
#
# KE     pi+n tot   pi+n cex  pi+n elas  pi+n reac   pi+p tot   pi+p cex  pi+p elas  pi+p reac   pi+d abs   
 975    4.597e+01  4.504e+00  1.844e+01  2.290e+01  2.596e+01  0.000e+00  1.300e+01  1.283e+01  1.275e-01
 990    4.395e+01  4.087e+00  1.739e+01  2.235e+01  2.625e+01  0.000e+00  1.304e+01  1.308e+01  1.251e-01
1005    4.217e+01  3.749e+00  1.641e+01  2.189e+01  2.672e+01  0.000e+00  1.319e+01  1.341e+01  1.228e-01
1020    4.070e+01  3.484e+00  1.556e+01  2.154e+01  2.728e+01  0.000e+00  1.337e+01  1.379e+01  1.205e-01
1035    3.954e+01  3.283e+00  1.485e+01  2.129e+01  2.791e+01  0.000e+00  1.358e+01  1.421e+01  1.182e-01
1050    3.864e+01  3.138e+00  1.427e+01  2.112e+01  2.861e+01  0.000e+00  1.382e+01  1.467e+01  1.159e-01
1065    3.795e+01  3.039e+00  1.378e+01  2.102e+01  2.938e+01  0.000e+00  1.410e+01  1.517e+01  1.136e-01
1080    3.745e+01  2.979e+00  1.339e+01  2.097e+01  3.022e+01  0.000e+00  1.440e+01  1.571e+01  1.112e-01
1095    3.710e+01  2.950e+00  1.308e+01  2.096e+01  3.113e+01  0.000e+00  1.474e+01  1.628e+01  1.089e-01
1110    3.686e+01  2.946e+00  1.282e+01  2.099e+01  3.209e+01  0.000e+00  1.511e+01  1.687e+01  1.066e-01
1125    3.671e+01  2.962e+00  1.260e+01  2.104e+01  3.308e+01  0.000e+00  1.550e+01  1.748e+01  1.043e-01
1140    3.662e+01  2.990e+00  1.243e+01  2.110e+01  3.410e+01  0.000e+00  1.590e+01  1.810e+01  1.020e-01
1155    3.658e+01  3.028e+00  1.228e+01  2.117e+01  3.513e+01  0.000e+00  1.631e+01  1.872e+01  9.965e-02
1170    3.657e+01  3.071e+00  1.215e+01  2.125e+01  3.615e+01  0.000e+00  1.671e+01  1.934e+01  9.734e-02
1185    3.658e+01  3.114e+00  1.203e+01  2.134e+01  3.714e+01  0.000e+00  1.710e+01  1.994e+01  9.502e-02
1200    3.659e+01  3.154e+00  1.192e+01  2.142e+01  3.805e+01  0.000e+00  1.745e+01  2.051e+01  9.270e-02
1215    3.660e+01  3.187e+00  1.181e+01  2.151e+01  3.888e+01  0.000e+00  1.775e+01  2.104e+01  9.038e-02
1230    3.659e+01  3.210e+00  1.171e+01  2.158e+01  3.960e+01  0.000e+00  1.800e+01  2.151e+01  8.807e-02
1245    3.656e+01  3.222e+00  1.160e+01  2.165e+01  4.019e+01  0.000e+00  1.818e+01  2.192e+01  8.575e-02
1260    3.651e+01  3.219e+00  1.150e+01  2.171e+01  4.062e+01  0.000e+00  1.828e+01  2.226e+01  8.343e-02
1275    3.643e+01  3.203e+00  1.139e+01  2.176e+01  4.090e+01  0.000e+00  1.830e+01  2.252e+01  8.111e-02
1290    3.633e+01  3.172e+00  1.128e+01  2.180e+01  4.104e+01  0.000e+00  1.825e+01  2.271e+01  7.880e-02
1305    3.620e+01  3.127e+00  1.117e+01  2.183e+01  4.102e+01  0.000e+00  1.812e+01  2.282e+01  7.648e-02
1320    3.606e+01  3.071e+00  1.106e+01  2.185e+01  4.086e+01  0.000e+00  1.793e+01  2.286e+01  7.416e-02
1335    3.588e+01  3.005e+00  1.094e+01  2.186e+01  4.059e+01  0.000e+00  1.768e+01  2.284e+01  7.184e-02
1350    3.570e+01  2.930e+00  1.083e+01  2.187e+01  4.022e+01  0.000e+00  1.739e+01  2.276e+01  6.953e-02
1365    3.553e+01  2.850e+00  1.073e+01  2.188e+01  3.977e+01  0.000e+00  1.706e+01  2.264e+01  6.721e-02
1380    3.533e+01  2.766e+00  1.062e+01  2.188e+01  3.924e+01  0.000e+00  1.670e+01  2.248e+01  6.489e-02
1395    3.515e+01  2.681e+00  1.052e+01  2.189e+01  3.869e+01  0.000e+00  1.633e+01  2.230e+01  6.257e-02
1410    3.500e+01  2.595e+00  1.043e+01  2.191e+01  3.812e+01  0.000e+00  1.596e+01  2.210e+01  6.026e-02
1425    3.484e+01  2.509e+00  1.034e+01  2.193e+01  3.753e+01  0.000e+00  1.558e+01  2.189e+01  5.794e-02
1440    3.469e+01  2.426e+00  1.026e+01  2.195e+01  3.694e+01  0.000e+00  1.521e+01  2.167e+01  5.562e-02
1455    3.458e+01  2.345e+00  1.019e+01  2.199e+01  3.634e+01  0.000e+00  1.484e+01  2.145e+01  5.330e-02
1470    3.447e+01  2.267e+00  1.012e+01  2.203e+01  3.578e+01  0.000e+00  1.449e+01  2.124e+01  5.099e-02
1485    3.438e+01  2.193e+00  1.006e+01  2.208e+01  3.523e+01  0.000e+00  1.415e+01  2.103e+01  4.867e-02
1500    3.431e+01  2.122e+00  1.000e+01  2.214e+01  3.470e+01  0.000e+00  1.382e+01  2.083e+01  4.635e-02
1515    3.426e+01  2.054e+00  9.952e+00  2.221e+01  3.419e+01  0.000e+00  1.351e+01  2.064e+01  4.403e-02
1530    3.422e+01  1.990e+00  9.908e+00  2.228e+01  3.372e+01  0.000e+00  1.321e+01  2.047e+01  4.172e-02
1545    3.421e+01  1.929e+00  9.870e+00  2.237e+01  3.327e+01  0.000e+00  1.293e+01  2.030e+01  3.940e-02
1560    3.421e+01  1.871e+00  9.837e+00  2.246e+01  3.286e+01  0.000e+00  1.267e+01  2.015e+01  3.708e-02
1575    3.422e+01  1.817e+00  9.810e+00  2.256e+01  3.246e+01  0.000e+00  1.242e+01  2.001e+01  3.476e-02
1590    3.424e+01  1.765e+00  9.787e+00  2.266e+01  3.210e+01  0.000e+00  1.218e+01  1.989e+01  3.245e-02
1605    3.428e+01  1.715e+00  9.768e+00  2.277e+01  3.177e+01  0.000e+00  1.196e+01  1.978e+01  3.013e-02
1620    3.433e+01  1.668e+00  9.754e+00  2.288e+01  3.146e+01  0.000e+00  1.175e+01  1.968e+01  2.781e-02
1635    3.439e+01  1.622e+00  9.743e+00  2.300e+01  3.117e+01  0.000e+00  1.155e+01  1.959e+01  2.549e-02
1650    3.447e+01  1.579e+00  9.736e+00  2.313e+01  3.090e+01  0.000e+00  1.136e+01  1.952e+01  2.318e-02
1665    3.454e+01  1.537e+00  9.733e+00  2.325e+01  3.068e+01  0.000e+00  1.119e+01  1.947e+01  2.086e-02
1680    3.463e+01  1.496e+00  9.732e+00  2.338e+01  3.047e+01  0.000e+00  1.103e+01  1.942e+01  1.854e-02
1695    3.472e+01  1.457e+00  9.734e+00  2.351e+01  3.029e+01  0.000e+00  1.088e+01  1.939e+01  1.622e-02
1710    3.481e+01  1.419e+00  9.738e+00  2.364e+01  3.010e+01  0.000e+00  1.073e+01  1.936e+01  1.391e-02
1725    3.491e+01  1.382e+00  9.744e+00  2.377e+01  2.996e+01  0.000e+00  1.060e+01  1.935e+01  1.159e-02
1740    3.502e+01  1.345e+00  9.753e+00  2.391e+01  2.984e+01  0.000e+00  1.048e+01  1.935e+01  9.270e-03
1755    3.512e+01  1.310e+00  9.763e+00  2.404e+01  2.973e+01  0.000e+00  1.036e+01  1.936e+01  6.953e-03
1770    3.522e+01  1.275e+00  9.775e+00  2.417e+01  2.964e+01  0.000e+00  1.026e+01  1.938e+01  4.635e-03
1785    3.533e+01  1.240e+00  9.789e+00  2.430e+01  2.956e+01  0.000e+00  1.016e+01  1.940e+01  2.318e-03
1800    3.544e+01  1.206e+00  9.803e+00  2.443e+01  2.951e+01  0.000e+00  1.007e+01  1.944e+01  0.000e+00
