# Provided & maintained by Steve Dytman
#
# Data used in GENIE for piN total cross sections where N is average of p and n
# use PWA results of Arndt, et al. for pi+p elas, pi-p elas, pi-p cex, and pi_d->pp
# pi+N and pi-N are identical because of isospin relations
# pi0N calculated from isospin relns for elas and cex, avg of pi+ and pi- for others
# KE is CM energy in MeV, cross sections CM all mb
#
# KE     pi+N tot    pi+N cex   pi+N elas   pi+N reac   pi+N abs    pi0N tot    pi0N cex    pi0N elas   pi0N reac   pi0N abs    
1380.  0.3730E+02  0.1383E+01  0.1366E+02  0.2218E+02  0.7332E-01  0.3374E+02  0.2766E+01  0.8725E+01  0.2218E+02  0.7333E-01
1395.  0.3693E+02  0.1340E+01  0.1342E+02  0.2209E+02  0.7071E-01  0.3340E+02  0.2681E+01  0.8551E+01  0.2209E+02  0.7070E-01
1410.  0.3657E+02  0.1298E+01  0.1319E+02  0.2201E+02  0.6809E-01  0.3305E+02  0.2595E+01  0.8377E+01  0.2201E+02  0.6809E-01
1425.  0.3619E+02  0.1255E+01  0.1296E+02  0.2191E+02  0.6547E-01  0.3268E+02  0.2509E+01  0.8200E+01  0.2191E+02  0.6547E-01
1440.  0.3582E+02  0.1213E+01  0.1274E+02  0.2181E+02  0.6285E-01  0.3233E+02  0.2426E+01  0.8029E+01  0.2181E+02  0.6285E-01
1455.  0.3547E+02  0.1173E+01  0.1251E+02  0.2172E+02  0.6023E-01  0.3199E+02  0.2345E+01  0.7860E+01  0.2172E+02  0.6023E-01
1470.  0.3513E+02  0.1133E+01  0.1231E+02  0.2164E+02  0.5761E-01  0.3166E+02  0.2267E+01  0.7700E+01  0.2164E+02  0.5761E-01
1485.  0.3481E+02  0.1096E+01  0.1210E+02  0.2156E+02  0.5499E-01  0.3135E+02  0.2193E+01  0.7545E+01  0.2156E+02  0.5499E-01
1500.  0.3451E+02  0.1061E+01  0.1191E+02  0.2149E+02  0.5238E-01  0.3105E+02  0.2122E+01  0.7395E+01  0.2149E+02  0.5237E-01
1515.  0.3423E+02  0.1027E+01  0.1173E+02  0.2142E+02  0.4976E-01  0.3078E+02  0.2054E+01  0.7255E+01  0.2142E+02  0.4976E-01
1530.  0.3398E+02  0.9950E+00  0.1156E+02  0.2138E+02  0.4714E-01  0.3053E+02  0.1990E+01  0.7120E+01  0.2138E+02  0.4714E-01
1545.  0.3374E+02  0.9645E+00  0.1140E+02  0.2133E+02  0.4452E-01  0.3030E+02  0.1929E+01  0.6995E+01  0.2133E+02  0.4452E-01
1560.  0.3354E+02  0.9355E+00  0.1125E+02  0.2131E+02  0.4190E-01  0.3010E+02  0.1871E+01  0.6879E+01  0.2131E+02  0.4190E-01
1575.  0.3335E+02  0.9085E+00  0.1111E+02  0.2128E+02  0.3928E-01  0.2991E+02  0.1817E+01  0.6768E+01  0.2128E+02  0.3928E-01
1590.  0.3318E+02  0.8825E+00  0.1098E+02  0.2127E+02  0.3666E-01  0.2974E+02  0.1765E+01  0.6662E+01  0.2127E+02  0.3666E-01
1605.  0.3303E+02  0.8575E+00  0.1086E+02  0.2128E+02  0.3404E-01  0.2959E+02  0.1715E+01  0.6565E+01  0.2128E+02  0.3404E-01
1620.  0.3290E+02  0.8340E+00  0.1075E+02  0.2128E+02  0.3143E-01  0.2945E+02  0.1668E+01  0.6473E+01  0.2128E+02  0.3143E-01
1635.  0.3278E+02  0.8110E+00  0.1065E+02  0.2130E+02  0.2881E-01  0.2933E+02  0.1622E+01  0.6386E+01  0.2130E+02  0.2881E-01
1650.  0.3269E+02  0.7895E+00  0.1055E+02  0.2133E+02  0.2618E-01  0.2923E+02  0.1579E+01  0.6304E+01  0.2133E+02  0.2619E-01
1665.  0.3261E+02  0.7685E+00  0.1046E+02  0.2136E+02  0.2357E-01  0.2915E+02  0.1537E+01  0.6230E+01  0.2136E+02  0.2357E-01
1680.  0.3255E+02  0.7480E+00  0.1038E+02  0.2140E+02  0.2095E-01  0.2908E+02  0.1496E+01  0.6161E+01  0.2140E+02  0.2095E-01
1695.  0.3250E+02  0.7285E+00  0.1031E+02  0.2145E+02  0.1833E-01  0.2902E+02  0.1457E+01  0.6096E+01  0.2145E+02  0.1833E-01
1710.  0.3246E+02  0.7095E+00  0.1023E+02  0.2150E+02  0.1571E-01  0.2897E+02  0.1419E+01  0.6032E+01  0.2150E+02  0.1571E-01
1725.  0.3244E+02  0.6910E+00  0.1017E+02  0.2156E+02  0.1309E-01  0.2893E+02  0.1382E+01  0.5977E+01  0.2156E+02  0.1310E-01
1740.  0.3243E+02  0.6725E+00  0.1012E+02  0.2163E+02  0.1048E-01  0.2891E+02  0.1345E+01  0.5925E+01  0.2163E+02  0.1047E-01
1755.  0.3242E+02  0.6550E+00  0.1006E+02  0.2170E+02  0.7858E-02  0.2889E+02  0.1310E+01  0.5874E+01  0.2170E+02  0.7854E-02
1770.  0.3244E+02  0.6375E+00  0.1002E+02  0.2177E+02  0.5238E-02  0.2889E+02  0.1275E+01  0.5832E+01  0.2177E+02  0.5239E-02
1785.  0.3245E+02  0.6200E+00  0.9975E+01  0.2185E+02  0.2618E-02  0.2888E+02  0.1240E+01  0.5789E+01  0.2185E+02  0.2619E-02
1800.  0.3247E+02  0.6030E+00  0.9937E+01  0.2193E+02  0.9769E-06  0.2889E+02  0.1206E+01  0.5751E+01  0.2194E+02  0.0000E+00


