# Provided by T. Golan
# 
# Data used in GENIE for piN total cross sections where N is either p or n
# use Nuwro's implementation of Oset et al. model [Nucl. Phys. A484 (1998) 557-592] for pi+N elas, cex, and pi absorption
# finite range effects are not included (the results can be applied to any nucleus)
# pi-p = pi+n and pi-n = pi+p
# pi0-N is taken to be the average of pi+ and pi-
# KE is LAB energy in MeV, cross sections in mb, d = density in fm-3
# qel = (elastic + cex)
# 
#        d        KE       pi+n qel      pi+n fcex       pi+p qel      pi+p fcex        pi0 qel       pi0 fcex        pi abs
      0.01       140        41.4099        25.3195        111.611              0        76.5103        26.9033        4.68205
      0.01       150        49.5102        30.5366        135.949              0        92.7295        32.2324        5.04897
      0.01       160        55.7275         34.657        154.637              0        105.182        36.3525        5.09434
      0.01       170        59.1867        37.0856        165.051              0        112.119        38.6839        4.79259
      0.01       180        59.8589        37.7539        167.102              0        113.481        39.1928        4.24821
      0.01       190        58.3524        37.0099        162.616              0        110.484        38.2622        3.61482
      0.01       200        55.5013        35.3657        154.095              0        104.798        36.4311        3.00852
      0.01       210        52.0449         33.289        143.755              0        97.9001        34.1836        2.48441
      0.01       220         48.493        31.1108        133.127              0          90.81        31.8577        2.05446
      0.01       230        45.1322        29.0226         123.07              0        84.1011        29.6465        1.71018
      0.01       240        42.0897        27.1138        113.965              0        78.0273        27.6374        1.43673
      0.01       250        39.3979        25.4119        105.909              0        72.6536        25.8548        1.21937
      0.01       260        37.0415        23.9122        98.8566              0         67.949        24.2906         1.0456
      0.01       270         34.985        22.5958        92.7005              0        63.8427        22.9227       0.905546
      0.01       280        33.1877        21.4393        87.3187              0        60.2532         21.725       0.791624
      0.01       290        31.6106        20.4198        82.5941              0        57.1023        20.6723        0.69807
      0.01       300        30.2191        19.5164        78.4227              0        54.3209        19.7421       0.620521
      0.01       310        28.9837        18.7114        74.7162              0          51.85         18.915       0.555661
      0.01       320        27.8801        17.9898        71.4011              0        49.6406        18.1751       0.500956
      0.01       330        26.8881        17.3394        68.4172              0        47.6526        17.5092       0.454454
      0.01       340        25.9913        16.7502        65.7152              0        45.8532        16.9066       0.414636
      0.01       350        25.1764        16.2137         63.255              0        44.2157        16.3586       0.380314
      0.02         0              0              0              0              0              0              0              0
      0.02        10         5.2887        3.82968        2.98579              0        4.13724        3.91851        1.91196
      0.02        20        5.36949        3.69647        3.21575              0        4.29262        3.78828        1.70352
      0.02        30        5.50843         3.6244        3.62873              0        4.56858         3.7077        1.72782
      0.02        40        5.74397        3.62348        4.33903              0         5.0415        3.70661        1.84345
      0.02        50        6.12308        3.71698        5.48667              0        5.80488        3.81885        2.02328
      0.02        60        6.71338        3.94266         7.2736              0        6.99349        4.09081        2.26481
      0.02        70         7.6307        4.36716        10.0465              0         8.8386        4.60457        2.57538
      0.02        80        9.03541        5.06186        14.2858              0        11.6606        5.45266        3.02152
      0.02        90        11.1524        6.17062        20.6653              0        15.9088        6.78198         3.5961
      0.02       100        14.2736        7.87141        30.0603              0         22.167        8.77666        4.31436
      0.02       110        18.7097        10.3604        43.4021              0        31.0559        11.6323        5.19291
      0.02       120        24.6358        13.7706        61.2156              0        42.9257        15.4597        6.22231
      0.02       130        31.8316        18.0172        82.8391              0        57.3354        20.1196        7.33343
      0.02       140        39.5027        22.6724        105.889              0         72.696        25.1083        8.36137
      0.02       150        46.4672        27.0465         126.82              0        86.6434        29.6731        9.05403
      0.02       160        51.6629         30.475        142.443              0        97.0531        33.1292         9.1825
      0.02       170        54.5653        32.5829        151.186              0        102.876        35.1249        8.70195
      0.02       180        55.2499        33.3531        153.275              0        104.263        35.6886        7.78746
      0.02       190        54.1893        33.0258        150.127              0        102.158         35.107        6.69901
      0.02       200        51.9909         31.947        143.564              0        97.7772        33.7634        5.63797
      0.02       210        49.2066         30.448         135.24              0        92.2234        32.0127        4.70538
      0.02       220        46.2441        28.7841        126.381              0        86.3124        30.1232        3.92851
      0.02       230        43.3586        27.1213        117.749              0        80.5539        28.2656        3.29765
      0.02       240        40.6834        25.5521        109.746              0        75.2148        26.5321        2.79016
      0.02       250        38.2712        24.1179        102.529              0           70.4         24.961        2.38205
      0.02       260        36.1276        22.8294         96.115              0        66.1213        23.5595        2.05233
      0.02       270        34.2352        21.6813        90.4512              0        62.3432         22.318          1.784
      0.02       280        32.5667        20.6609        85.4557              0        59.0112        21.2205        1.56376
      0.02       290        31.0927         19.753        81.0404              0        56.0666        20.2486        1.38137
      0.02       300        29.7856        18.9426        77.1222              0        53.4539        19.3848        1.22898
      0.02       310        28.6206        18.2164         73.627              0        51.1238        18.6136        1.10056
      0.02       320        27.5768        17.5622        70.4912              0         49.034        17.9213       0.991439
      0.02       330        26.6361        16.9701        67.6612              0        47.1486        17.2965       0.898008
      0.02       340        25.7838        16.4316        65.0926              0        45.4382        16.7296       0.817432
      0.02       350        25.0076        15.9395        62.7485              0         43.878        16.2129       0.747476
      0.03         0              0              0              0              0              0              0              0
      0.03        10        5.28783        3.73571        2.98318              0         4.1355        3.84794        2.77488
      0.03        20        5.36318        3.56179        3.19682              0           4.28         3.6777        2.41913
      0.03        30        5.48995        3.45281         3.5733              0        4.53162        3.55438        2.41806
      0.03        40        5.70769        3.41537         4.2302              0        4.96895        3.51037        2.55469
      0.03        50        6.06964        3.47416        5.32633              0        5.69799        3.58902        2.78567
      0.03        60        6.64655        3.66588        7.07309              0        6.85982        3.83814        3.10509
      0.03        70        7.53705         4.0437        9.76555              0         8.6513          4.318        3.52202
      0.03        80        8.90482        4.66483         13.894              0        11.3994        5.12003        4.14851
      0.03        90        10.9814        5.67613        20.1521              0        15.5667        6.39925         4.9651
      0.03       100        14.0516        7.24459        29.3942              0        21.7229        8.33273        5.99004
      0.03       110        18.3901        9.54004        42.4434              0        30.4168        11.0897        7.24523
      0.03       120        24.0859        12.6491        59.5657              0        41.8258        14.7255        8.71393
      0.03       130        30.8056        16.4378        79.7612              0        55.2834        19.0335        10.2941
      0.03       140        37.7277        20.4879        100.564              0        69.1459        23.5022        11.7521
      0.03       150        43.8235        24.2245        118.889              0        81.3561         27.486        12.7417
      0.03       160        48.2942        27.1539        132.337              0        90.3157        30.4727         12.957
      0.03       170        50.8154        29.0251        139.937              0         95.376        32.2385        12.3412
      0.03       180        51.5048        29.8409         142.04              0        96.7724        32.8356        11.1255
      0.03       190        50.7466        29.7763        139.799              0        95.2726        32.4896        9.65372
      0.03       200        49.0099        29.0789         134.62              0        91.8151        31.4892        8.19747
      0.03       210        46.7253        27.9934        127.796              0        87.2608        30.1069        6.89933
      0.03       220        44.2244        26.7182        120.321              0        82.2729        28.5582        5.80368
      0.03       230        41.7292        25.3935        112.861              0        77.2951        26.9905        4.90327
      0.03       240        39.3682        24.1057          105.8              0        72.5843        25.4924        4.17109
      0.03       250        37.2029         22.901        99.3241              0        68.2635        24.1083        3.57655
      0.03       260        35.2521        21.7986        93.4883              0        64.3702        22.8541        3.09199
      0.03       270        33.5106        20.8019        88.2774              0         60.894        21.7294        2.69449
      0.03       280        31.9618        19.9057        83.6409              0        57.8013        20.7252        2.36586
      0.03       290        30.5841        19.1009        79.5146              0        55.0493        19.8293        2.09186
      0.03       300        29.3559        18.3774         75.833              0        52.5944        19.0283        1.86149
      0.03       310        28.2567        17.7251        72.5352              0        50.3959        18.3097        1.66618
      0.03       320        27.2686        17.1348        69.5667              0        48.4177        17.6624        1.49929
      0.03       330        26.3759        16.5983        66.8808              0        46.6283        17.0766        1.35561
      0.03       340        25.5654        16.1087        64.4375              0        45.0014        16.5438        1.23103
      0.03       350        24.8259        15.6601        62.2034              0        43.5147        16.0572        1.12231
      0.04         0              0              0              0              0              0              0              0
      0.04        10        5.28733        3.65354        2.98168              0         4.1345        3.78444        3.62244
      0.04        20         5.3592        3.44706        3.18491              0        4.27206        3.58157        3.11166
      0.04        30        5.47734        3.31019        3.53547              0        4.50641        3.42544        3.07811
      0.04        40        5.68023        3.24531        4.14782              0        4.91403        3.34732        3.22842
      0.04        50        6.02234        3.27569        5.18442              0        5.60338        3.39321        3.50256
      0.04        60        6.58086        3.43907        6.87602              0        6.72844        3.61768        3.89059
      0.04        70        7.46277        3.78951        9.54271              0        8.50274        4.08578        4.40227
      0.04        80        8.81034        4.35826        13.6105              0        11.2104        4.85922        5.20049
      0.04        90        10.8482        5.28881        19.7525              0        15.3003        6.09121        6.25011
      0.04       100        13.8589        6.74063        28.8162              0        21.3376        7.95867        7.56971
      0.04       110        18.0792        8.85797        41.5106              0        29.7949         10.605        9.18381
      0.04       120        23.5186         11.687        57.8639              0        40.6912        14.0361         11.065
      0.04       130        29.7646        15.0626         76.638              0        53.2013        18.0008        13.0765
      0.04       140         36.013        18.5952        95.4201              0        65.7165        22.0068        14.9204
      0.04       150        41.3886        21.8129        111.584              0        76.4861        25.5114        16.1714
      0.04       160        45.2906        24.3466        123.326              0        84.3084        28.1302        16.4666
      0.04       170        47.5213        26.0233        130.054              0        88.7879        29.7191        15.7451
      0.04       180        48.2133        26.8534        132.165              0        90.1894        30.3379         14.283
      0.04       190        47.6841        26.9673        130.611              0        89.1477         30.167        12.4885
      0.04       200        46.3065        26.5472         126.51              0        86.4083        29.4306        10.6896
      0.04       210         44.424        25.7768        120.892              0        82.6582         28.342        9.06523
      0.04       220        42.3089        24.8115        114.575              0        78.4419        27.0759        7.67747
      0.04       230        40.1526        23.7674        108.131              0        74.1419        25.7583        6.52422
      0.04       240        38.0743        22.7219        101.919              0        69.9964        24.4707        5.57699
      0.04       250        36.1379        21.7209        96.1291              0        66.1335        23.2588        4.80086
      0.04       260        34.3702         20.788        90.8428              0        62.6065         22.144        4.16315
      0.04       270        32.7751        19.9321        86.0709              0         59.423         21.132        3.63618
      0.04       280        31.3439        19.1534        81.7873              0        56.5656        20.2194        3.19759
      0.04       290        30.0618        18.4476        77.9479              0        54.0049        19.3986        2.82967
      0.04       300        28.9124        17.8082        74.5027              0        51.7076        18.6602        2.51856
      0.04       310        27.8792        17.2283        71.4027              0         49.641        17.9946         2.2534
      0.04       320        26.9471         16.701        68.6023              0        47.7747        17.3925        2.02569
      0.04       330        26.1027        16.2198        66.0612              0         46.082         16.846         1.8287
      0.04       340        25.3343        15.7792        63.7442              0        44.5393        16.3478        1.65712
      0.04       350        24.6319        15.3743        61.6214              0        43.1267        15.8918        1.50669
      0.05         0              0              0              0              0              0              0              0
      0.05        10          5.287        3.57899        2.98069              0        4.13384        3.72527        4.45971
      0.05        20        5.35645        3.34529        3.17664              0        4.26655        3.49438        3.78865
      0.05        30        5.46816        3.18652        3.50791              0        4.48803        3.31205         3.7177
      0.05        40        5.65908        3.10075        4.08435              0        4.87171        3.20731        3.87654
      0.05        50        5.98306          3.109        5.06661              0        5.52484        3.22593        4.18811
      0.05        60        6.51914         3.2476        6.69088              0        6.60501        3.42412        4.63811
      0.05        70        7.38129        3.57101        9.29828              0        8.33979        3.87186        5.23643
      0.05        80        8.72233        4.10221        13.3465              0        11.0344        4.63167        6.19964
      0.05        90        10.7373         4.9707        19.4201              0        15.0787        5.83163        7.47408
      0.05       100        13.6839        6.31862         28.291              0        20.9874        7.63196        9.07677
      0.05       110        17.7688        8.27023        40.5793              0        29.1741        10.1591        11.0315
      0.05       120        22.9318        10.8378        56.1035              0        39.5177        13.3775        13.2964
      0.05       130        28.7097        13.8394        73.4734              0        51.0916        17.0097        15.6984
      0.05       140        34.3452        16.9237        90.4167              0         62.381        20.5993        17.8802
      0.05       150        39.1066        19.7083        104.738              0        71.9222        23.6974        19.3527
      0.05       160        42.5444        21.9164        115.088              0        78.8162        26.0154        19.7151
      0.05       170        44.5434        23.4266        121.121              0        82.8322        27.4609        18.9101
      0.05       180        45.2369        24.2517        123.236              0        84.2366        28.0932        17.2495
      0.05       190        44.8896        24.4895        122.228              0        83.5586         28.058        15.1882
      0.05       200        43.8025        24.2761        118.998              0        81.4003        27.5316        13.0973
      0.05       210        42.2539        23.7512        114.382              0         78.318         26.684        11.1864
      0.05       220        40.4689        23.0368        109.055              0        74.7619        25.6571        9.53481
      0.05       230        38.6117        22.2281        103.509              0        71.0602        24.5582        8.14757
      0.05       240        36.7904        21.3925        98.0669              0        67.4286        23.4602        6.99707
      0.05       250        35.0679        20.5731        92.9193              0        63.9936        22.4081        6.04617
      0.05       260        33.4755        19.7949        88.1586              0         60.817        21.4257        5.25874
      0.05       270        32.0231        19.0702        83.8149              0         57.919        20.5227        4.60345
      0.05       280        30.7084        18.4029        79.8807              0        55.2946        19.7002        4.05456
      0.05       290        29.5221        17.7921        76.3287              0        52.9254        18.9544        3.59142
      0.05       300        28.4523        17.2346        73.1225              0        50.7874         18.279        3.19768
      0.05       310        27.4862        16.7258        70.2235              0        48.8548        17.6669        2.86042
      0.05       320        26.6112        16.2607        67.5946              0        47.1029        17.1111        2.56941
      0.05       330        25.8162        15.8348        65.2016              0        45.5089        16.6048        2.31655
      0.05       340        25.0909        15.4434        63.0142              0        44.0526         16.142        2.09537
      0.05       350        24.4267        15.0828        61.0058              0        42.7163        15.7176        1.90067
      0.06         0              0              0              0              0              0              0              0
      0.06        10        5.28676        3.50989        2.97999              0        4.13338        3.66904        5.28938
      0.06        20        5.35441        3.25287        3.17053              0        4.26247        3.41341        4.45411
      0.06        30        5.46114        3.07648        3.48685              0        4.47399        3.20965        4.34198
      0.06        40         5.6423        2.97463        4.03403              0        4.83816        3.08403        4.50537
      0.06        50        5.95049        2.96574        4.96887              0        5.45968        3.08079        4.84989
      0.06        60        6.46433        3.08382        6.52645              0        6.49539        3.25521        5.35656
      0.06        70        7.30105          3.382        9.05755              0         8.1793        3.67904        6.03503
      0.06        80         8.6195        3.87404         13.038              0        10.8288        4.41355        7.15835
      0.06        90        10.6221        4.69319        19.0745              0        14.8483        5.59236        8.64972
      0.06       100        13.5155        5.95393         27.786              0        20.6508        7.33682        10.5225
      0.06       110        17.4531        7.75153        39.6322              0        28.5427        9.74072        12.7978
      0.06       120        22.3267        10.0758        54.2882              0        38.3075        12.7434        15.4152
      0.06       130        27.6488        12.7399        70.2906              0        48.9697        16.0578        18.1638
      0.06       140         32.727        15.4347        85.5622              0        59.1446        19.2729        20.6331
      0.06       150        36.9588        17.8539        98.2944              0        67.6266        22.0221        22.2855
      0.06       160        40.0096        19.7891        107.484              0        73.7466        24.0887        22.6997
      0.06       170        41.8183        21.1541        112.946              0        77.3819        25.4139        21.8291
      0.06       180        42.5118        21.9611        115.061              0        78.7864        26.0531        20.0124
      0.06       190        42.3119        22.2844        114.495              0        78.4032        26.1242        17.7363
      0.06       200        41.4645        22.2266        111.984              0        76.7244        25.7679        15.4024
      0.06       210        40.1973        21.8945        108.213              0         74.205        25.1202        13.2449
      0.06       220        38.6976        21.3841        103.741              0        71.2192        24.2975        11.3594
      0.06       230        37.1057         20.773        98.9905              0        68.0481        23.3904        9.75907
      0.06       240        35.5183        20.1186        94.2507              0        64.8845        22.4635        8.41927
      0.06       250        33.9954        19.4603        89.7017              0        61.8486         21.559        7.30247
      0.06       260          32.57        18.8227        85.4421              0         59.006        20.7017        6.37055
      0.06       270        31.2562        18.2194        81.5141              0        56.3852        19.9037        5.58966
      0.06       280        30.0563        17.6569        77.9247              0        53.9905        19.1695        4.93146
      0.06       290        28.9658         17.137        74.6596              0        51.8127         18.498        4.37292
      0.06       300        27.9762        16.6586        71.6942              0        49.8352        17.8858        3.89558
      0.06       310        27.0781        16.2192        68.9994              0        48.0387        17.3278        3.48472
      0.06       320        26.2615        15.8156        66.5455              0        46.4035        16.8189        3.12859
      0.06       330        25.5171        15.4445        64.3044              0        44.9107        16.3537        2.81782
      0.06       340        24.8363        15.1025        62.2501              0        43.5432        15.9273        2.54489
      0.06       350        24.2113        14.7866        60.3598              0        42.2856        15.5353        2.30371
      0.07         0              0              0              0              0              0              0              0
      0.07        10        5.28659        3.44495        2.97947              0        4.13303        3.61498        6.11311
      0.07        20        5.35284        3.16766        3.16581              0        4.25933        3.33715        5.11046
      0.07        30        5.45557        2.97691        3.47016              0        4.46286        3.11557        4.95413
      0.07        40        5.62867        2.86259        3.99314              0        4.81091        2.97355        5.11879
      0.07        50        5.92315        2.84045        4.88686              0        5.40501        2.95299         5.4925
      0.07        60        6.41634        2.94186        6.38246              0         6.3994        3.10706        6.05137
      0.07        70        7.22516        3.21718        8.82989              0        8.02752        3.50629        6.80448
      0.07        80        8.51019        3.67025        12.7101              0        10.6101        4.20847        8.08354
      0.07        90        10.4801        4.43743        18.6483              0        14.5642        5.35283        9.78538
      0.07       100        13.3356        5.62666        27.2463              0         20.291        7.05557        11.9143
      0.07       110        17.1272         7.2853        38.6546              0        27.8909        9.34159        14.4874
      0.07       120        21.7066        9.38504         52.428              0        37.0673        12.1312        17.4236
      0.07       130        26.5918        11.7464        67.1198              0        46.8558        15.1464        20.4731
      0.07       140        31.1659        14.1034        80.8788              0        56.0223         18.026        23.1789
      0.07       150        34.9383        16.2123        92.2328              0        63.5855        20.4737        24.9698
      0.07       160        37.6619        17.9162         100.44              0        69.0512        22.3269        25.4197
      0.07       170        39.3108        19.1528        105.423              0        72.3669        23.5489         24.498
      0.07       180        40.0022        19.9332        107.532              0        73.7672        24.1891        22.5629
      0.07       190        39.9227        20.3138        107.327              0        73.6249        24.3438        20.1198
      0.07       200         39.275        20.3727        105.416              0        72.3454        24.1259        17.5895
      0.07       210        38.2468        20.1921        102.361              0        70.3039        23.6451         15.225
      0.07       220        36.9945        19.8474        98.6316              0        67.8131        22.9971        13.1361
      0.07       230        35.6381        19.4017        94.5878              0         65.113        22.2582        11.3452
      0.07       240        34.2632        18.9033        90.4854              0        62.3743        21.4849        9.83195
      0.07       250        32.9256        18.3869        86.4922              0        59.7089        20.7161        8.55989
      0.07       260        31.6584        17.8758        82.7072              0        57.1828        19.9761        7.49038
      0.07       270        30.4782         17.384        79.1802              0        54.8292        19.2786        6.58807
      0.07       280        29.3908        16.9195        75.9281              0        52.6595          18.63        5.82281
      0.07       290        28.3951        16.4856        72.9475              0        50.6713        18.0316        5.16976
      0.07       300         27.486        16.0831        70.2234              0        48.8547        17.4822        4.60875
      0.07       310        26.6566        15.7111        67.7348              0        47.1957        16.9786        4.12356
      0.07       320        25.8993        15.3677        65.4588              0        45.6791        16.5171        3.70113
      0.07       330        25.2066        15.0507        63.3728              0        44.2897        16.0937        3.33097
      0.07       340        24.5713        14.7578        61.4552              0        43.0132        15.7046        3.00458
      0.07       350        23.9868        14.4866        59.6864              0        41.8366         15.346        2.71508
      0.08         0              0              0              0              0              0              0              0
      0.08        10        5.28646        3.38333        2.97907              0        4.13276        3.56257        6.93197
      0.08        20        5.35158        3.08825        3.16204              0        4.25681        3.26465        5.75933
      0.08        30        5.45104        2.88573        3.45655              0         4.4538        3.02813        5.55622
      0.08        40        5.61734        2.76172        3.95915              0        4.78824         2.8732        5.71934
      0.08        50        5.89987        2.72936        4.81703              0        5.35845        2.83902        6.11901
      0.08        60        6.37423        2.81728        6.25615              0        6.31519        2.97605        6.72614
      0.08        70          7.156        3.07288        8.62241              0        7.88921        3.35269        7.54897
      0.08        80        8.40173        3.48873        12.3847              0        10.3932        4.01954        8.97955
      0.08        90        10.3215        4.20238        18.1726              0         14.247        5.11875        10.8855
      0.08       100        13.1143        5.31711        26.5822              0        19.8482        6.76501        13.2584
      0.08       110        16.7847        6.85903         37.627              0        27.2058        8.95418        16.1039
      0.08       120         21.076        8.75489         50.536              0         35.806        11.5401        19.3228
      0.08       130        25.5491        10.8467        63.9917              0        44.7704        14.2778        22.6264
      0.08       140        29.6693         12.911        76.3889              0        53.0291        16.8583        25.5186
      0.08       150        33.0418        14.7556        86.5434              0        59.7926        19.0445        27.4085
      0.08       160        35.4858        16.2616         93.912              0        64.6989        20.7144        27.8785
      0.08       170        36.9979        17.3838        98.4843              0        67.7411        21.8457        26.9176
      0.08       180        37.6847        18.1319        100.579              0        69.1321         22.482        24.8972
      0.08       190        37.7036        18.5489         100.67              0        69.1866        22.7021          22.33
      0.08       200        37.2229        18.6946        99.2594              0        68.2412        22.5968         19.647
      0.08       210        36.3983        18.6325        96.8155              0        66.6069        22.2554        17.1136
      0.08       220        35.3609         18.422        93.7309              0        64.5459        21.7567        14.8522
      0.08       230        34.2134         18.114        90.3134              0        62.2634        21.1649        12.8942
      0.08       240        33.0308        17.7489        86.7881              0        59.9094         20.529        11.2244
      0.08       250        31.8642        17.3567        83.3081              0        57.5862         19.884        9.80925
      0.08       260        30.7459        16.9586        79.9696              0        55.3577        19.2533        8.61045
      0.08       270        29.6936        16.5684        76.8263              0        53.2599         18.651        7.59219
      0.08       280        28.7154        16.1945         73.902              0        51.3087        18.0848        6.72328
      0.08       290         27.813        15.8414        71.2013              0        49.5071        17.5579         5.9776
      0.08       300        26.9838        15.5111         68.717              0        47.8504        17.0704        5.33371
      0.08       310        26.2234        15.2038        66.4352              0        46.3293         16.621        4.77419
      0.08       320         25.526        14.9188         64.339              0        44.9325        16.2071        4.28489
      0.08       330        24.8859        14.6549        62.4106              0        43.6482         15.826        3.85435
      0.08       340        24.2971        14.4106        60.6325              0        42.4648        15.4747        3.47324
      0.08       350        23.7542        14.1842        58.9883              0        41.3712        15.1503        3.13396
      0.09         0              0              0              0              0              0              0              0
      0.09        10        5.28635        3.32445        2.97875              0        4.13255        3.51149        7.74673
      0.09        20        5.35055        3.01368        3.15896              0        4.25476        3.19527        6.40185
      0.09        30        5.44727         2.8015        3.44526              0        4.44627        2.94622        6.14973
      0.09        40        5.60774        2.67001        3.93035              0        4.76905        2.78117        6.30886
      0.09        50         5.8798        2.62981        4.75681              0         5.3183        2.73637        6.73157
      0.09        60        6.33706        2.70682        6.14462              0        6.24084        2.85922        7.38343
      0.09        70        7.09274         2.9453        8.43263              0        7.76268         3.2152         8.2715
      0.09        80        8.29831        3.32718        12.0745              0        10.1864        3.84768        9.84924
      0.09        90        10.1566        3.98789        17.6778              0        13.9172        4.89555        11.9525
      0.09       100        12.8593        5.02425        25.8173              0        19.3383        6.46938        14.5576
      0.09       110        16.3983        6.45506        36.4679              0        26.4331        8.55858        17.6533
      0.09       120        20.4387        8.17736        48.6242              0        34.5315          10.97        21.1147
      0.09       130        24.5296        10.0311        60.9331              0        42.7313        13.4538        24.6253
      0.09       140        28.2431        11.8425        72.1105              0        50.1768        15.7688        27.6555
      0.09       150        31.2666        13.4608        81.2178              0        56.2422        17.7274        29.6077
      0.09       160        33.4692        14.7965        87.8623              0        60.6658        19.2382        30.0834
      0.09       170        34.8624        15.8164        92.0777              0          63.47        20.2887        29.0932
      0.09       180        35.5417        16.5286        94.1505              0        64.8461        20.9168        27.0159
      0.09       190        35.6407        16.9663        94.4809              0        65.0608         21.187        24.3631
      0.09       200        35.2997        17.1755          93.49              0        64.3949        21.1733         21.567
      0.09       210        34.6488        17.2054         91.567              0        63.1079        20.9483        18.9009
      0.09       220        33.7981         17.103        89.0425              0        61.4203         20.577        16.4971
      0.09       230        32.8354        16.9091        86.1794              0        59.5074        20.1134        14.3955
      0.09       240        31.8262         16.657        83.1743              0        57.5002        19.5997        12.5874
      0.09       250        30.8168        16.3727        80.1657              0        55.4913        19.0672        11.0422
      0.09       260        29.8375        16.0747        77.2447              0        53.5411        18.5375        9.72355
      0.09       270        28.9068        15.7761        74.4658              0        51.6863        18.0248        8.59591
      0.09       280        28.0339        15.4853        71.8573              0        49.9456        17.5373        7.62775
      0.09       290        27.2225        15.2074        69.4299              0        48.3262        17.0794        6.79223
      0.09       300        26.4723        14.9451        67.1823              0        46.8273        16.6526        6.06706
      0.09       310        25.7805        14.6996        65.1065              0        45.4435        16.2567        5.43389
