# Provided & maintained by Steve Dytman
#
# Data used in GENIE for piN total cross sections where N is either p or n
# use PWA results of Arndt, et al. for pi+p elas, pi-p elas, pi-p cex, and pi_d->pp
# pi+N and pi-N are identical because of isospin relations
# pi0N calculated from isospin relns for elas and cex, avg of pi+ and pi- for others
# KE is CM energy in MeV, cross sections CM all mb
#
# KE     pi0n tot   pi0n cex  pi0n elas  pi0n reac   pi0p tot   pi0p cex  pi0p elas  pi0p reac   pi0d abs   
 480    2.599e+01  9.331e+00  1.091e+01  5.284e+00  2.545e+01  9.331e+00  1.037e+01  5.284e+00  4.646e-01
 495    2.575e+01  9.228e+00  1.036e+01  5.747e+00  2.538e+01  9.228e+00  9.981e+00  5.747e+00  4.187e-01
 510    2.583e+01  9.246e+00  9.921e+00  6.281e+00  2.561e+01  9.246e+00  9.702e+00  6.281e+00  3.764e-01
 525    2.621e+01  9.392e+00  9.584e+00  6.896e+00  2.616e+01  9.392e+00  9.539e+00  6.896e+00  3.373e-01
 540    2.691e+01  9.669e+00  9.336e+00  7.607e+00  2.709e+01  9.669e+00  9.515e+00  7.607e+00  3.011e-01
 555    2.792e+01  1.008e+01  9.157e+00  8.411e+00  2.843e+01  1.008e+01  9.675e+00  8.411e+00  2.676e-01
 570    2.835e+01  9.921e+00  8.523e+00  9.667e+00  2.998e+01  9.921e+00  1.015e+01  9.667e+00  2.371e-01
 585    2.849e+01  9.690e+00  7.952e+00  1.064e+01  3.093e+01  9.690e+00  1.039e+01  1.064e+01  2.095e-01
 600    2.818e+01  9.262e+00  7.330e+00  1.140e+01  3.130e+01  9.262e+00  1.045e+01  1.140e+01  1.854e-01
 615    2.733e+01  8.589e+00  6.641e+00  1.192e+01  3.097e+01  8.589e+00  1.028e+01  1.192e+01  1.831e-01
 630    2.612e+01  7.754e+00  5.939e+00  1.224e+01  3.005e+01  7.754e+00  9.879e+00  1.224e+01  1.808e-01
 645    2.484e+01  6.901e+00  5.298e+00  1.246e+01  2.886e+01  6.901e+00  9.319e+00  1.246e+01  1.784e-01
 660    2.379e+01  6.155e+00  4.774e+00  1.269e+01  2.772e+01  6.155e+00  8.707e+00  1.269e+01  1.761e-01
 675    2.313e+01  5.579e+00  4.383e+00  1.300e+01  2.691e+01  5.579e+00  8.155e+00  1.300e+01  1.738e-01
 690    2.292e+01  5.190e+00  4.135e+00  1.342e+01  2.653e+01  5.190e+00  7.743e+00  1.342e+01  1.715e-01
 705    2.312e+01  4.977e+00  4.021e+00  1.395e+01  2.665e+01  4.977e+00  7.555e+00  1.395e+01  1.692e-01
 720    2.370e+01  4.929e+00  4.043e+00  1.456e+01  2.728e+01  4.929e+00  7.620e+00  1.456e+01  1.669e-01
 735    2.459e+01  5.033e+00  4.195e+00  1.520e+01  2.833e+01  5.033e+00  7.941e+00  1.520e+01  1.645e-01
 750    2.571e+01  5.272e+00  4.450e+00  1.583e+01  2.975e+01  5.272e+00  8.491e+00  1.583e+01  1.622e-01
 765    2.699e+01  5.621e+00  4.772e+00  1.644e+01  3.141e+01  5.621e+00  9.195e+00  1.644e+01  1.599e-01
 780    2.834e+01  6.047e+00  5.109e+00  1.702e+01  3.324e+01  6.047e+00  1.001e+01  1.702e+01  1.576e-01
 795    2.970e+01  6.515e+00  5.423e+00  1.761e+01  3.515e+01  6.515e+00  1.087e+01  1.761e+01  1.553e-01
 810    3.100e+01  6.987e+00  5.689e+00  1.818e+01  3.706e+01  6.987e+00  1.175e+01  1.818e+01  1.530e-01
 825    3.216e+01  7.418e+00  5.884e+00  1.870e+01  3.887e+01  7.418e+00  1.260e+01  1.870e+01  1.506e-01
 840    3.306e+01  7.758e+00  5.999e+00  1.916e+01  4.043e+01  7.758e+00  1.337e+01  1.916e+01  1.483e-01
 855    3.360e+01  7.953e+00  6.025e+00  1.948e+01  4.159e+01  7.953e+00  1.402e+01  1.948e+01  1.460e-01
 870    3.367e+01  7.956e+00  5.951e+00  1.962e+01  4.221e+01  7.956e+00  1.449e+01  1.962e+01  1.437e-01
 885    3.326e+01  7.745e+00  5.784e+00  1.959e+01  4.223e+01  7.745e+00  1.475e+01  1.959e+01  1.414e-01
 900    3.241e+01  7.339e+00  5.540e+00  1.939e+01  4.168e+01  7.339e+00  1.481e+01  1.939e+01  1.391e-01
 915    3.128e+01  6.794e+00  5.257e+00  1.909e+01  4.071e+01  6.794e+00  1.468e+01  1.909e+01  1.367e-01
 930    3.003e+01  6.182e+00  4.964e+00  1.874e+01  3.951e+01  6.182e+00  1.444e+01  1.874e+01  1.344e-01
 945    2.879e+01  5.569e+00  4.696e+00  1.839e+01  3.823e+01  5.569e+00  1.413e+01  1.839e+01  1.321e-01
 960    2.769e+01  5.001e+00  4.469e+00  1.809e+01  3.702e+01  5.001e+00  1.379e+01  1.809e+01  1.298e-01
 975    2.679e+01  4.504e+00  4.291e+00  1.786e+01  3.596e+01  4.504e+00  1.347e+01  1.786e+01  1.275e-01
 990    2.606e+01  4.087e+00  4.130e+00  1.771e+01  3.510e+01  4.087e+00  1.317e+01  1.771e+01  1.251e-01
1005    2.557e+01  3.749e+00  4.053e+00  1.765e+01  3.445e+01  3.749e+00  1.293e+01  1.765e+01  1.228e-01
1020    2.529e+01  3.484e+00  4.024e+00  1.766e+01  3.399e+01  3.484e+00  1.272e+01  1.766e+01  1.205e-01
1035    2.518e+01  3.283e+00  4.033e+00  1.775e+01  3.372e+01  3.283e+00  1.257e+01  1.775e+01  1.182e-01
1050    2.522e+01  3.138e+00  4.076e+00  1.789e+01  3.362e+01  3.138e+00  1.248e+01  1.789e+01  1.159e-01
1065    2.540e+01  3.039e+00  4.153e+00  1.809e+01  3.367e+01  3.039e+00  1.242e+01  1.809e+01  1.136e-01
1080    2.568e+01  2.979e+00  4.251e+00  1.834e+01  3.384e+01  2.979e+00  1.241e+01  1.834e+01  1.112e-01
1095    2.605e+01  2.950e+00  4.373e+00  1.862e+01  3.411e+01  2.950e+00  1.244e+01  1.862e+01  1.089e-01
1110    2.650e+01  2.946e+00  4.516e+00  1.893e+01  3.447e+01  2.946e+00  1.249e+01  1.893e+01  1.066e-01
1125    2.700e+01  2.962e+00  4.674e+00  1.926e+01  3.490e+01  2.962e+00  1.257e+01  1.926e+01  1.043e-01
1140    2.753e+01  2.990e+00  4.837e+00  1.960e+01  3.536e+01  2.990e+00  1.267e+01  1.960e+01  1.020e-01
1155    2.808e+01  3.028e+00  5.007e+00  1.995e+01  3.585e+01  3.028e+00  1.278e+01  1.995e+01  9.965e-02
1170    2.864e+01  3.071e+00  5.176e+00  2.030e+01  3.636e+01  3.071e+00  1.289e+01  2.030e+01  9.734e-02
1185    2.919e+01  3.114e+00  5.340e+00  2.064e+01  3.686e+01  3.114e+00  1.301e+01  2.064e+01  9.502e-02
1200    2.970e+01  3.154e+00  5.489e+00  2.097e+01  3.732e+01  3.154e+00  1.311e+01  2.097e+01  9.270e-02
1215    3.017e+01  3.187e+00  5.618e+00  2.127e+01  3.774e+01  3.187e+00  1.319e+01  2.127e+01  9.038e-02
1230    3.057e+01  3.210e+00  5.723e+00  2.155e+01  3.809e+01  3.210e+00  1.325e+01  2.155e+01  8.807e-02
1245    3.089e+01  3.222e+00  5.802e+00  2.179e+01  3.837e+01  3.222e+00  1.328e+01  2.179e+01  8.575e-02
1260    3.113e+01  3.219e+00  5.844e+00  2.198e+01  3.857e+01  3.219e+00  1.328e+01  2.198e+01  8.343e-02
1275    3.128e+01  3.203e+00  5.854e+00  2.214e+01  3.867e+01  3.203e+00  1.324e+01  2.214e+01  8.111e-02
1290    3.134e+01  3.172e+00  5.833e+00  2.226e+01  3.868e+01  3.172e+00  1.318e+01  2.226e+01  7.880e-02
1305    3.131e+01  3.127e+00  5.778e+00  2.232e+01  3.861e+01  3.127e+00  1.308e+01  2.232e+01  7.648e-02
1320    3.120e+01  3.071e+00  5.696e+00  2.236e+01  3.846e+01  3.071e+00  1.296e+01  2.236e+01  7.416e-02
1335    3.102e+01  3.005e+00  5.592e+00  2.235e+01  3.823e+01  3.005e+00  1.281e+01  2.235e+01  7.184e-02
1350    3.078e+01  2.930e+00  5.467e+00  2.232e+01  3.796e+01  2.930e+00  1.264e+01  2.232e+01  6.953e-02
1365    3.050e+01  2.850e+00  5.326e+00  2.226e+01  3.765e+01  2.850e+00  1.247e+01  2.226e+01  6.721e-02
1380    3.018e+01  2.766e+00  5.174e+00  2.218e+01  3.729e+01  2.766e+00  1.228e+01  2.218e+01  6.489e-02
1395    2.986e+01  2.681e+00  5.017e+00  2.209e+01  3.692e+01  2.681e+00  1.208e+01  2.209e+01  6.257e-02
1410    2.952e+01  2.595e+00  4.858e+00  2.201e+01  3.656e+01  2.595e+00  1.190e+01  2.201e+01  6.026e-02
1425    2.917e+01  2.509e+00  4.695e+00  2.191e+01  3.618e+01  2.509e+00  1.171e+01  2.191e+01  5.794e-02
1440    2.883e+01  2.426e+00  4.537e+00  2.181e+01  3.581e+01  2.426e+00  1.152e+01  2.181e+01  5.562e-02
1455    2.850e+01  2.345e+00  4.378e+00  2.172e+01  3.546e+01  2.345e+00  1.134e+01  2.172e+01  5.330e-02
1470    2.818e+01  2.267e+00  4.228e+00  2.163e+01  3.512e+01  2.267e+00  1.117e+01  2.163e+01  5.099e-02
1485    2.788e+01  2.193e+00  4.081e+00  2.155e+01  3.481e+01  2.193e+00  1.101e+01  2.155e+01  4.867e-02
1500    2.759e+01  2.122e+00  3.941e+00  2.148e+01  3.450e+01  2.122e+00  1.085e+01  2.148e+01  4.635e-02
1515    2.733e+01  2.054e+00  3.806e+00  2.143e+01  3.423e+01  2.054e+00  1.070e+01  2.143e+01  4.403e-02
1530    2.708e+01  1.990e+00  3.676e+00  2.138e+01  3.397e+01  1.990e+00  1.056e+01  2.138e+01  4.172e-02
1545    2.686e+01  1.929e+00  3.554e+00  2.134e+01  3.374e+01  1.929e+00  1.044e+01  2.134e+01  3.940e-02
1560    2.665e+01  1.871e+00  3.439e+00  2.130e+01  3.353e+01  1.871e+00  1.032e+01  2.130e+01  3.708e-02
1575    2.647e+01  1.817e+00  3.329e+00  2.129e+01  3.334e+01  1.817e+00  1.021e+01  2.129e+01  3.476e-02
1590    2.630e+01  1.765e+00  3.223e+00  2.127e+01  3.317e+01  1.765e+00  1.010e+01  2.127e+01  3.245e-02
1605    2.614e+01  1.715e+00  3.123e+00  2.127e+01  3.303e+01  1.715e+00  1.001e+01  2.127e+01  3.013e-02
1620    2.600e+01  1.668e+00  3.028e+00  2.128e+01  3.289e+01  1.668e+00  9.918e+00  2.128e+01  2.781e-02
1635    2.588e+01  1.622e+00  2.936e+00  2.130e+01  3.278e+01  1.622e+00  9.835e+00  2.130e+01  2.549e-02
1650    2.578e+01  1.579e+00  2.849e+00  2.132e+01  3.269e+01  1.579e+00  9.758e+00  2.132e+01  2.318e-02
1665    2.568e+01  1.537e+00  2.767e+00  2.136e+01  3.261e+01  1.537e+00  9.693e+00  2.136e+01  2.086e-02
1680    2.560e+01  1.496e+00  2.689e+00  2.140e+01  3.255e+01  1.496e+00  9.633e+00  2.140e+01  1.854e-02
1695    2.554e+01  1.457e+00  2.614e+00  2.145e+01  3.250e+01  1.457e+00  9.579e+00  2.145e+01  1.622e-02
1710    2.547e+01  1.419e+00  2.540e+00  2.150e+01  3.246e+01  1.419e+00  9.524e+00  2.150e+01  1.391e-02
1725    2.543e+01  1.382e+00  2.472e+00  2.156e+01  3.243e+01  1.382e+00  9.481e+00  2.156e+01  1.159e-02
1740    2.539e+01  1.345e+00  2.406e+00  2.163e+01  3.243e+01  1.345e+00  9.444e+00  2.163e+01  9.270e-03
1755    2.536e+01  1.310e+00  2.342e+00  2.170e+01  3.242e+01  1.310e+00  9.406e+00  2.170e+01  6.953e-03
1770    2.534e+01  1.275e+00  2.283e+00  2.177e+01  3.243e+01  1.275e+00  9.380e+00  2.177e+01  4.635e-03
1785    2.532e+01  1.240e+00  2.224e+00  2.185e+01  3.245e+01  1.240e+00  9.354e+00  2.185e+01  2.318e-03
1800    2.531e+01  1.206e+00  2.168e+00  2.194e+01  3.247e+01  1.206e+00  9.334e+00  2.194e+01  0.000e+00
