# 
# The total cross section data for the four Pion Photoproduction reactions
# (pi0_p, pi+_n, pi-_p, pi0_n) was taken from the CNS DAC Services
# (http://gwdac.phys.gwu.edu/) on 4/28/2009. gamN_tot is the total
# cross section summed over final state and averaged over p and n targets. 
#
# KE is photon energy (MeV) and cross section units are mb
#
# KE    pi0_p tot   pi+_n tot   pi-_p tot   pi0_n tot    fs_p tot    fs_n tot    gamN_tot
 645.  2.5670E-02  9.2140E-02  9.7550E-02  3.3800E-02  1.1781E-01  1.3135E-01  1.2458E-01
 660.  2.6260E-02  9.5550E-02  9.9030E-02  3.2800E-02  1.2181E-01  1.3183E-01  1.2682E-01
 675.  2.7510E-02  9.9540E-02  1.0010E-01  3.2230E-02  1.2705E-01  1.3233E-01  1.2969E-01
 690.  2.9590E-02  1.0390E-01  1.0030E-01  3.2110E-02  1.3349E-01  1.3241E-01  1.3295E-01
 705.  3.4210E-02  1.0830E-01  9.8440E-02  3.3480E-02  1.4251E-01  1.3192E-01  1.3722E-01
 720.  3.7340E-02  1.0370E-01  9.3900E-02  3.4410E-02  1.4104E-01  1.2831E-01  1.3468E-01
 735.  3.9670E-02  9.8460E-02  8.7250E-02  3.4900E-02  1.3813E-01  1.2215E-01  1.3014E-01
 750.  4.0820E-02  9.1160E-02  7.8590E-02  3.4840E-02  1.3198E-01  1.1343E-01  1.2270E-01
 765.  4.0670E-02  8.2250E-02  6.9000E-02  3.4190E-02  1.2292E-01  1.0319E-01  1.1306E-01
 780.  3.9440E-02  7.3020E-02  5.9850E-02  3.2980E-02  1.1246E-01  9.2830E-02  1.0264E-01
 795.  3.7470E-02  6.4740E-02  5.2140E-02  3.1320E-02  1.0221E-01  8.3460E-02  9.2835E-02
 810.  3.5050E-02  5.8160E-02  4.6230E-02  2.9340E-02  9.3210E-02  7.5570E-02  8.4390E-02
 825.  3.2400E-02  5.3430E-02  4.2050E-02  2.7200E-02  8.5830E-02  6.9250E-02  7.7540E-02
 840.  2.9710E-02  5.0360E-02  3.9240E-02  2.5030E-02  8.0070E-02  6.4270E-02  7.2170E-02
 855.  2.7150E-02  4.8630E-02  3.7430E-02  2.2950E-02  7.5780E-02  6.0380E-02  6.8080E-02
 870.  2.4870E-02  4.7890E-02  3.6230E-02  2.1040E-02  7.2760E-02  5.7270E-02  6.5015E-02
 885.  2.3020E-02  4.7860E-02  3.5360E-02  1.9370E-02  7.0880E-02  5.4730E-02  6.2805E-02
 900.  2.1720E-02  4.8360E-02  3.4640E-02  1.8000E-02  7.0080E-02  5.2640E-02  6.1360E-02
 915.  2.1060E-02  4.9330E-02  3.3990E-02  1.6950E-02  7.0390E-02  5.0940E-02  6.0665E-02
 930.  2.1090E-02  5.0750E-02  3.3380E-02  1.6200E-02  7.1840E-02  4.9580E-02  6.0710E-02
 945.  2.1800E-02  5.2530E-02  3.2800E-02  1.5720E-02  7.4330E-02  4.8520E-02  6.1425E-02
 960.  2.3070E-02  5.4410E-02  3.2240E-02  1.5480E-02  7.7480E-02  4.7720E-02  6.2600E-02
 975.  2.4630E-02  5.5950E-02  3.1690E-02  1.5390E-02  8.0580E-02  4.7080E-02  6.3830E-02
 990.  2.6080E-02  5.6740E-02  3.1160E-02  1.5370E-02  8.2820E-02  4.6530E-02  6.4675E-02
1005.  2.6990E-02  5.6480E-02  3.0620E-02  1.5340E-02  8.3470E-02  4.5960E-02  6.4715E-02
1020.  2.7080E-02  5.4990E-02  2.9960E-02  1.5170E-02  8.2070E-02  4.5130E-02  6.3600E-02
1035.  2.6310E-02  5.2250E-02  2.9020E-02  1.4770E-02  7.8560E-02  4.3790E-02  6.1175E-02
1050.  2.4850E-02  4.8470E-02  2.7730E-02  1.4120E-02  7.3320E-02  4.1850E-02  5.7585E-02
1065.  2.2970E-02  4.4080E-02  2.6120E-02  1.3270E-02  6.7050E-02  3.9390E-02  5.3220E-02
1080.  2.0950E-02  3.9560E-02  2.4360E-02  1.2330E-02  6.0510E-02  3.6690E-02  4.8600E-02
1095.  1.8990E-02  3.5280E-02  2.2620E-02  1.1410E-02  5.4270E-02  3.4030E-02  4.4150E-02
1110.  1.7230E-02  3.1460E-02  2.1040E-02  1.0590E-02  4.8690E-02  3.1630E-02  4.0160E-02
1125.  1.5720E-02  2.8190E-02  1.9660E-02  9.9180E-03  4.3910E-02  2.9578E-02  3.6744E-02
1140.  1.4470E-02  2.5460E-02  1.8490E-02  9.3870E-03  3.9930E-02  2.7877E-02  3.3904E-02
1155.  1.3460E-02  2.3230E-02  1.7520E-02  8.9940E-03  3.6690E-02  2.6514E-02  3.1602E-02
1170.  1.2680E-02  2.1420E-02  1.6710E-02  8.7230E-03  3.4100E-02  2.5433E-02  2.9767E-02
1185.  1.2090E-02  1.9960E-02  1.6040E-02  8.5560E-03  3.2050E-02  2.4596E-02  2.8323E-02
1200.  1.1670E-02  1.8790E-02  1.5460E-02  8.4770E-03  3.0460E-02  2.3937E-02  2.7199E-02
1215.  1.1380E-02  1.7850E-02  1.4960E-02  8.4700E-03  2.9230E-02  2.3430E-02  2.6330E-02
1230.  1.1200E-02  1.7080E-02  1.4530E-02  8.5230E-03  2.8280E-02  2.3053E-02  2.5666E-02
1245.  1.1120E-02  1.6460E-02  1.4140E-02  8.6240E-03  2.7580E-02  2.2764E-02  2.5172E-02
1260.  1.1100E-02  1.5940E-02  1.3780E-02  8.7640E-03  2.7040E-02  2.2544E-02  2.4792E-02
1275.  1.1150E-02  1.5500E-02  1.3460E-02  8.9330E-03  2.6650E-02  2.2393E-02  2.4521E-02
1290.  1.1230E-02  1.5120E-02  1.3160E-02  9.1230E-03  2.6350E-02  2.2283E-02  2.4317E-02
1305.  1.1340E-02  1.4780E-02  1.2880E-02  9.3260E-03  2.6120E-02  2.2206E-02  2.4163E-02
1320.  1.1470E-02  1.4470E-02  1.2620E-02  9.5350E-03  2.5940E-02  2.2155E-02  2.4047E-02
1335.  1.1600E-02  1.4190E-02  1.2380E-02  9.7380E-03  2.5790E-02  2.2118E-02  2.3954E-02
1350.  1.1720E-02  1.3910E-02  1.2140E-02  9.9280E-03  2.5630E-02  2.2068E-02  2.3849E-02
1365.  1.1830E-02  1.3640E-02  1.1910E-02  1.0090E-02  2.5470E-02  2.2000E-02  2.3735E-02
1380.  1.1910E-02  1.3380E-02  1.1690E-02  1.0220E-02  2.5290E-02  2.1910E-02  2.3600E-02
1395.  1.1940E-02  1.3100E-02  1.1480E-02  1.0310E-02  2.5040E-02  2.1790E-02  2.3415E-02
1410.  1.1930E-02  1.2820E-02  1.1260E-02  1.0350E-02  2.4750E-02  2.1610E-02  2.3180E-02
1425.  1.1870E-02  1.2530E-02  1.1040E-02  1.0340E-02  2.4400E-02  2.1380E-02  2.2890E-02
1440.  1.1750E-02  1.2230E-02  1.0820E-02  1.0280E-02  2.3980E-02  2.1100E-02  2.2540E-02
1455.  1.1580E-02  1.1920E-02  1.0600E-02  1.0160E-02  2.3500E-02  2.0760E-02  2.2130E-02
1470.  1.1360E-02  1.1600E-02  1.0380E-02  9.9950E-03  2.2960E-02  2.0375E-02  2.1668E-02
1485.  1.1110E-02  1.1270E-02  1.0170E-02  9.7920E-03  2.2380E-02  1.9962E-02  2.1171E-02
1500.  1.0810E-02  1.0950E-02  9.9650E-03  9.5570E-03  2.1760E-02  1.9522E-02  2.0641E-02
1515.  1.0490E-02  1.0630E-02  9.7690E-03  9.3000E-03  2.1120E-02  1.9069E-02  2.0095E-02
1530.  1.0160E-02  1.0310E-02  9.5850E-03  9.0260E-03  2.0470E-02  1.8611E-02  1.9541E-02
1545.  9.8100E-03  1.0000E-02  9.4140E-03  8.7440E-03  1.9810E-02  1.8158E-02  1.8984E-02
1560.  9.4580E-03  9.7060E-03  9.2570E-03  8.4600E-03  1.9164E-02  1.7717E-02  1.8441E-02
1575.  9.1060E-03  9.4180E-03  9.1140E-03  8.1790E-03  1.8524E-02  1.7293E-02  1.7909E-02
1590.  8.7590E-03  9.1420E-03  8.9860E-03  7.9050E-03  1.7901E-02  1.6891E-02  1.7396E-02
1605.  8.4190E-03  8.8780E-03  8.8710E-03  7.6400E-03  1.7297E-02  1.6511E-02  1.6904E-02
1620.  8.0890E-03  8.6270E-03  8.7700E-03  7.3880E-03  1.6716E-02  1.6158E-02  1.6437E-02
1635.  7.7710E-03  8.3860E-03  8.6800E-03  7.1480E-03  1.6157E-02  1.5828E-02  1.5992E-02
1650.  7.4660E-03  8.1580E-03  8.6020E-03  6.9230E-03  1.5624E-02  1.5525E-02  1.5575E-02
1665.  7.1730E-03  7.9400E-03  8.5330E-03  6.7120E-03  1.5113E-02  1.5245E-02  1.5179E-02
1680.  6.8950E-03  7.7320E-03  8.4730E-03  6.5160E-03  1.4627E-02  1.4989E-02  1.4808E-02
1695.  6.6300E-03  7.5330E-03  8.4200E-03  6.3330E-03  1.4163E-02  1.4753E-02  1.4458E-02
1710.  6.3790E-03  7.3430E-03  8.3740E-03  6.1640E-03  1.3722E-02  1.4538E-02  1.4130E-02
1725.  6.1410E-03  7.1610E-03  8.3320E-03  6.0080E-03  1.3302E-02  1.4340E-02  1.3821E-02
1740.  5.9160E-03  6.9870E-03  8.2950E-03  5.8630E-03  1.2903E-02  1.4158E-02  1.3530E-02
1755.  5.7030E-03  6.8190E-03  8.2620E-03  5.7300E-03  1.2522E-02  1.3992E-02  1.3257E-02
1770.  5.5020E-03  6.6580E-03  8.2310E-03  5.6060E-03  1.2160E-02  1.3837E-02  1.2998E-02
1785.  5.3120E-03  6.5030E-03  8.2010E-03  5.4910E-03  1.1815E-02  1.3692E-02  1.2754E-02
1800.  5.1330E-03  6.3530E-03  8.1730E-03  5.3840E-03  1.1486E-02  1.3557E-02  1.2521E-02


