# Provided & maintained by Steve Dytman
#
# Data used in GENIE for pN and nN total cross sections
# use PWA results of Arndt, et al. for pp elas, np elas, pp reac, and np reac
# no nn results, assume nn same as np for now, can be improved later
# KE is CM energy in MeV, cross sections CM all mb
#
# KE     pp tot     pp elas   pp reac    pn tot      pn elas    pn reac    nn tot    nn elas    nn reac     
  75    3.980e+01  3.980e+01  0.000e+00  1.037e+02  1.037e+02  0.000e+00  1.037e+02  1.037e+02  0.000e+00
  90    3.423e+01  3.423e+01  0.000e+00  8.449e+01  8.449e+01  0.000e+00  8.449e+01  8.449e+01  0.000e+00
 105    3.068e+01  3.068e+01  0.000e+00  7.188e+01  7.188e+01  0.000e+00  7.188e+01  7.188e+01  0.000e+00
 120    2.834e+01  2.834e+01  0.000e+00  6.317e+01  6.317e+01  0.000e+00  6.317e+01  6.317e+01  0.000e+00
 135    2.678e+01  2.678e+01  0.000e+00  5.691e+01  5.691e+01  0.000e+00  5.691e+01  5.691e+01  0.000e+00
 150    2.574e+01  2.574e+01  0.000e+00  5.226e+01  5.226e+01  0.000e+00  5.226e+01  5.226e+01  0.000e+00
 165    2.505e+01  2.505e+01  0.000e+00  4.870e+01  4.870e+01  0.000e+00  4.870e+01  4.870e+01  0.000e+00
 180    2.459e+01  2.459e+01  0.000e+00  4.592e+01  4.592e+01  0.000e+00  4.592e+01  4.592e+01  0.000e+00
 195    2.430e+01  2.430e+01  0.000e+00  4.370e+01  4.370e+01  0.000e+00  4.370e+01  4.370e+01  0.000e+00
 210    2.411e+01  2.411e+01  0.000e+00  4.188e+01  4.188e+01  0.000e+00  4.188e+01  4.188e+01  0.000e+00
 225    2.399e+01  2.399e+01  0.000e+00  4.037e+01  4.037e+01  0.000e+00  4.037e+01  4.037e+01  0.000e+00
 240    2.392e+01  2.392e+01  0.000e+00  3.910e+01  3.910e+01  0.000e+00  3.910e+01  3.910e+01  0.000e+00
 255    2.388e+01  2.388e+01  0.000e+00  3.801e+01  3.801e+01  0.000e+00  3.801e+01  3.801e+01  0.000e+00
 270    2.387e+01  2.387e+01  0.000e+00  3.707e+01  3.707e+01  0.000e+00  3.707e+01  3.707e+01  0.000e+00
 285    2.387e+01  2.387e+01  5.464e-07  3.625e+01  3.625e+01  0.000e+00  3.625e+01  3.625e+01  0.000e+00
 300    2.407e+01  2.394e+01  1.319e-01  3.563e+01  3.556e+01  6.595e-02  3.563e+01  3.556e+01  6.595e-02
 315    2.430e+01  2.402e+01  2.792e-01  3.509e+01  3.495e+01  1.398e-01  3.509e+01  3.495e+01  1.398e-01
 330    2.455e+01  2.411e+01  4.445e-01  3.462e+01  3.440e+01  2.230e-01  3.462e+01  3.440e+01  2.230e-01
 345    2.483e+01  2.420e+01  6.314e-01  3.424e+01  3.392e+01  3.176e-01  3.424e+01  3.392e+01  3.176e-01
 360    2.514e+01  2.430e+01  8.444e-01  3.392e+01  3.349e+01  4.258e-01  3.392e+01  3.349e+01  4.258e-01
 375    2.549e+01  2.440e+01  1.089e+00  3.365e+01  3.310e+01  5.506e-01  3.365e+01  3.310e+01  5.506e-01
 390    2.588e+01  2.451e+01  1.370e+00  3.345e+01  3.275e+01  6.950e-01  3.345e+01  3.275e+01  6.950e-01
 405    2.633e+01  2.463e+01  1.696e+00  3.330e+01  3.244e+01  8.628e-01  3.330e+01  3.244e+01  8.628e-01
 420    2.683e+01  2.476e+01  2.073e+00  3.323e+01  3.217e+01  1.058e+00  3.323e+01  3.217e+01  1.058e+00
 435    2.741e+01  2.490e+01  2.512e+00  3.321e+01  3.192e+01  1.286e+00  3.321e+01  3.192e+01  1.286e+00
 450    2.806e+01  2.504e+01  3.021e+00  3.325e+01  3.170e+01  1.551e+00  3.325e+01  3.170e+01  1.551e+00
 465    2.879e+01  2.518e+01  3.610e+00  3.335e+01  3.149e+01  1.857e+00  3.335e+01  3.149e+01  1.857e+00
 480    2.961e+01  2.532e+01  4.287e+00  3.352e+01  3.131e+01  2.211e+00  3.352e+01  3.131e+01  2.211e+00
 495    3.052e+01  2.546e+01  5.058e+00  3.374e+01  3.113e+01  2.614e+00  3.374e+01  3.113e+01  2.614e+00
 510    3.150e+01  2.558e+01  5.925e+00  3.403e+01  3.096e+01  3.069e+00  3.403e+01  3.096e+01  3.069e+00
 525    3.256e+01  2.568e+01  6.884e+00  3.435e+01  3.078e+01  3.573e+00  3.435e+01  3.078e+01  3.573e+00
 540    3.367e+01  2.575e+01  7.923e+00  3.472e+01  3.060e+01  4.121e+00  3.472e+01  3.060e+01  4.121e+00
 555    3.480e+01  2.578e+01  9.025e+00  3.512e+01  3.041e+01  4.705e+00  3.512e+01  3.041e+01  4.705e+00
 570    3.594e+01  2.577e+01  1.017e+01  3.552e+01  3.020e+01  5.316e+00  3.552e+01  3.020e+01  5.316e+00
 585    3.706e+01  2.572e+01  1.134e+01  3.591e+01  2.997e+01  5.942e+00  3.591e+01  2.997e+01  5.942e+00
 600    3.814e+01  2.564e+01  1.250e+01  3.630e+01  2.973e+01  6.573e+00  3.630e+01  2.973e+01  6.573e+00
 615    3.916e+01  2.552e+01  1.364e+01  3.667e+01  2.947e+01  7.199e+00  3.667e+01  2.947e+01  7.199e+00
 630    4.012e+01  2.539e+01  1.473e+01  3.702e+01  2.921e+01  7.809e+00  3.702e+01  2.921e+01  7.809e+00
 645    4.102e+01  2.526e+01  1.576e+01  3.733e+01  2.894e+01  8.394e+00  3.733e+01  2.894e+01  8.394e+00
 660    4.184e+01  2.513e+01  1.671e+01  3.763e+01  2.868e+01  8.947e+00  3.763e+01  2.868e+01  8.947e+00
 675    4.258e+01  2.501e+01  1.757e+01  3.788e+01  2.842e+01  9.462e+00  3.788e+01  2.842e+01  9.462e+00
 690    4.326e+01  2.492e+01  1.834e+01  3.811e+01  2.817e+01  9.936e+00  3.811e+01  2.817e+01  9.936e+00
 705    4.383e+01  2.483e+01  1.900e+01  3.829e+01  2.792e+01  1.037e+01  3.829e+01  2.792e+01  1.037e+01
 720    4.434e+01  2.476e+01  1.958e+01  3.844e+01  2.768e+01  1.076e+01  3.844e+01  2.768e+01  1.076e+01
 735    4.477e+01  2.470e+01  2.007e+01  3.857e+01  2.745e+01  1.112e+01  3.857e+01  2.745e+01  1.112e+01
 750    4.512e+01  2.464e+01  2.048e+01  3.866e+01  2.721e+01  1.145e+01  3.866e+01  2.721e+01  1.145e+01
 765    4.541e+01  2.458e+01  2.083e+01  3.873e+01  2.698e+01  1.175e+01  3.873e+01  2.698e+01  1.175e+01
 780    4.565e+01  2.453e+01  2.112e+01  3.877e+01  2.674e+01  1.203e+01  3.877e+01  2.674e+01  1.203e+01
 795    4.582e+01  2.446e+01  2.136e+01  3.880e+01  2.651e+01  1.229e+01  3.880e+01  2.651e+01  1.229e+01
 810    4.597e+01  2.440e+01  2.157e+01  3.881e+01  2.627e+01  1.254e+01  3.881e+01  2.627e+01  1.254e+01
 825    4.608e+01  2.433e+01  2.175e+01  3.882e+01  2.604e+01  1.278e+01  3.882e+01  2.604e+01  1.278e+01
 840    4.616e+01  2.426e+01  2.190e+01  3.881e+01  2.580e+01  1.301e+01  3.881e+01  2.580e+01  1.301e+01
 855    4.622e+01  2.418e+01  2.204e+01  3.880e+01  2.557e+01  1.323e+01  3.880e+01  2.557e+01  1.323e+01
 870    4.626e+01  2.410e+01  2.216e+01  3.879e+01  2.534e+01  1.345e+01  3.879e+01  2.534e+01  1.345e+01
 885    4.628e+01  2.401e+01  2.227e+01  3.878e+01  2.511e+01  1.367e+01  3.878e+01  2.511e+01  1.367e+01
 900    4.630e+01  2.392e+01  2.238e+01  3.877e+01  2.489e+01  1.388e+01  3.877e+01  2.489e+01  1.388e+01
 915    4.631e+01  2.383e+01  2.248e+01  3.876e+01  2.467e+01  1.409e+01  3.876e+01  2.467e+01  1.409e+01
 930    4.630e+01  2.373e+01  2.257e+01  3.875e+01  2.445e+01  1.430e+01  3.875e+01  2.445e+01  1.430e+01
 945    4.630e+01  2.364e+01  2.266e+01  3.874e+01  2.424e+01  1.450e+01  3.874e+01  2.424e+01  1.450e+01
 960    4.629e+01  2.354e+01  2.275e+01  3.875e+01  2.404e+01  1.471e+01  3.875e+01  2.404e+01  1.471e+01
 975    4.628e+01  2.344e+01  2.284e+01  3.876e+01  2.385e+01  1.491e+01  3.876e+01  2.385e+01  1.491e+01
 990    4.626e+01  2.334e+01  2.292e+01  3.877e+01  2.367e+01  1.510e+01  3.877e+01  2.367e+01  1.510e+01
1005    4.624e+01  2.323e+01  2.301e+01  3.879e+01  2.349e+01  1.530e+01  3.879e+01  2.349e+01  1.530e+01
1020    4.622e+01  2.313e+01  2.309e+01  3.881e+01  2.333e+01  1.548e+01  3.881e+01  2.333e+01  1.548e+01
1035    4.620e+01  2.303e+01  2.317e+01  3.884e+01  2.317e+01  1.567e+01  3.884e+01  2.317e+01  1.567e+01
1050    4.618e+01  2.292e+01  2.326e+01  3.887e+01  2.302e+01  1.585e+01  3.887e+01  2.302e+01  1.585e+01
1065    4.616e+01  2.282e+01  2.334e+01  3.891e+01  2.289e+01  1.602e+01  3.891e+01  2.289e+01  1.602e+01
1080    4.613e+01  2.271e+01  2.342e+01  3.894e+01  2.276e+01  1.618e+01  3.894e+01  2.276e+01  1.618e+01
1095    4.611e+01  2.261e+01  2.350e+01  3.899e+01  2.265e+01  1.634e+01  3.899e+01  2.265e+01  1.634e+01
1110    4.608e+01  2.251e+01  2.357e+01  3.903e+01  2.254e+01  1.649e+01  3.903e+01  2.254e+01  1.649e+01
1125    4.606e+01  2.241e+01  2.365e+01  3.909e+01  2.245e+01  1.664e+01  3.909e+01  2.245e+01  1.664e+01
1140    4.602e+01  2.230e+01  2.372e+01  3.913e+01  2.236e+01  1.677e+01  3.913e+01  2.236e+01  1.677e+01
1155    4.600e+01  2.220e+01  2.380e+01  3.919e+01  2.229e+01  1.690e+01  3.919e+01  2.229e+01  1.690e+01
1170    4.597e+01  2.210e+01  2.387e+01  3.924e+01  2.222e+01  1.702e+01  3.924e+01  2.222e+01  1.702e+01
1185    4.595e+01  2.201e+01  2.394e+01  3.930e+01  2.217e+01  1.713e+01  3.930e+01  2.217e+01  1.713e+01
1200    4.591e+01  2.191e+01  2.400e+01  3.936e+01  2.212e+01  1.724e+01  3.936e+01  2.212e+01  1.724e+01
1215    4.588e+01  2.181e+01  2.407e+01  3.941e+01  2.208e+01  1.733e+01  3.941e+01  2.208e+01  1.733e+01
1230    4.584e+01  2.171e+01  2.413e+01  3.947e+01  2.205e+01  1.742e+01  3.947e+01  2.205e+01  1.742e+01
1245    4.581e+01  2.162e+01  2.419e+01  3.953e+01  2.203e+01  1.750e+01  3.953e+01  2.203e+01  1.750e+01
1260    4.577e+01  2.152e+01  2.425e+01  3.958e+01  2.201e+01  1.757e+01  3.958e+01  2.201e+01  1.757e+01
1275    4.573e+01  2.143e+01  2.430e+01  3.963e+01  2.200e+01  1.763e+01  3.963e+01  2.200e+01  1.763e+01
1290    4.570e+01  2.134e+01  2.436e+01  3.969e+01  2.200e+01  1.769e+01  3.969e+01  2.200e+01  1.769e+01
1305    4.566e+01  2.125e+01  2.441e+01  3.974e+01  2.200e+01  1.774e+01  3.974e+01  2.200e+01  1.774e+01
1320    4.562e+01  2.116e+01  2.446e+01  3.978e+01  2.200e+01  1.778e+01  3.978e+01  2.200e+01  1.778e+01
1335    4.557e+01  2.107e+01  2.450e+01  3.982e+01  2.201e+01  1.781e+01  3.982e+01  2.201e+01  1.781e+01
1350    4.553e+01  2.098e+01  2.455e+01  3.986e+01  2.202e+01  1.784e+01  3.986e+01  2.202e+01  1.784e+01
1365    4.549e+01  2.090e+01  2.459e+01  3.990e+01  2.204e+01  1.786e+01  3.990e+01  2.204e+01  1.786e+01
1380    4.544e+01  2.081e+01  2.463e+01  3.993e+01  2.206e+01  1.787e+01  3.993e+01  2.206e+01  1.787e+01
1395    4.540e+01  2.073e+01  2.467e+01  3.996e+01  2.208e+01  1.788e+01  3.996e+01  2.208e+01  1.788e+01
1410    4.535e+01  2.065e+01  2.470e+01  3.999e+01  2.211e+01  1.788e+01  3.999e+01  2.211e+01  1.788e+01
1425    4.530e+01  2.056e+01  2.474e+01  4.001e+01  2.213e+01  1.788e+01  4.001e+01  2.213e+01  1.788e+01
1440    4.525e+01  2.048e+01  2.477e+01  4.003e+01  2.216e+01  1.787e+01  4.003e+01  2.216e+01  1.787e+01
1455    4.521e+01  2.041e+01  2.480e+01  4.005e+01  2.219e+01  1.786e+01  4.005e+01  2.219e+01  1.786e+01
1470    4.516e+01  2.033e+01  2.483e+01  4.006e+01  2.222e+01  1.784e+01  4.006e+01  2.222e+01  1.784e+01
1485    4.510e+01  2.025e+01  2.485e+01  4.007e+01  2.225e+01  1.782e+01  4.007e+01  2.225e+01  1.782e+01
1500    4.505e+01  2.018e+01  2.487e+01  4.007e+01  2.228e+01  1.779e+01  4.007e+01  2.228e+01  1.779e+01
1515    4.500e+01  2.010e+01  2.490e+01  4.007e+01  2.231e+01  1.776e+01  4.007e+01  2.231e+01  1.776e+01
1530    4.494e+01  2.003e+01  2.491e+01  4.007e+01  2.234e+01  1.773e+01  4.007e+01  2.234e+01  1.773e+01
1545    4.489e+01  1.996e+01  2.493e+01  4.006e+01  2.237e+01  1.769e+01  4.006e+01  2.237e+01  1.769e+01
1560    4.484e+01  1.989e+01  2.495e+01  4.005e+01  2.240e+01  1.765e+01  4.005e+01  2.240e+01  1.765e+01
1575    4.478e+01  1.982e+01  2.496e+01  4.004e+01  2.243e+01  1.761e+01  4.004e+01  2.243e+01  1.761e+01
1590    4.474e+01  1.976e+01  2.498e+01  4.002e+01  2.246e+01  1.756e+01  4.002e+01  2.246e+01  1.756e+01
1605    4.468e+01  1.969e+01  2.499e+01  4.000e+01  2.249e+01  1.751e+01  4.000e+01  2.249e+01  1.751e+01
1620    4.463e+01  1.963e+01  2.500e+01  3.998e+01  2.252e+01  1.746e+01  3.998e+01  2.252e+01  1.746e+01
1635    4.458e+01  1.957e+01  2.501e+01  3.995e+01  2.254e+01  1.741e+01  3.995e+01  2.254e+01  1.741e+01
1650    4.452e+01  1.951e+01  2.501e+01  3.993e+01  2.257e+01  1.736e+01  3.993e+01  2.257e+01  1.736e+01
1665    4.447e+01  1.945e+01  2.502e+01  3.990e+01  2.260e+01  1.730e+01  3.990e+01  2.260e+01  1.730e+01
1680    4.441e+01  1.939e+01  2.502e+01  3.988e+01  2.263e+01  1.725e+01  3.988e+01  2.263e+01  1.725e+01
1695    4.436e+01  1.933e+01  2.503e+01  3.984e+01  2.265e+01  1.719e+01  3.984e+01  2.265e+01  1.719e+01
1710    4.431e+01  1.928e+01  2.503e+01  3.981e+01  2.268e+01  1.713e+01  3.981e+01  2.268e+01  1.713e+01
1725    4.425e+01  1.922e+01  2.503e+01  3.977e+01  2.270e+01  1.707e+01  3.977e+01  2.270e+01  1.707e+01
1740    4.420e+01  1.917e+01  2.503e+01  3.973e+01  2.272e+01  1.701e+01  3.973e+01  2.272e+01  1.701e+01
1755    4.415e+01  1.912e+01  2.503e+01  3.970e+01  2.275e+01  1.695e+01  3.970e+01  2.275e+01  1.695e+01
1770    4.410e+01  1.907e+01  2.503e+01  3.965e+01  2.277e+01  1.688e+01  3.965e+01  2.277e+01  1.688e+01
1785    4.404e+01  1.902e+01  2.502e+01  3.961e+01  2.279e+01  1.682e+01  3.961e+01  2.279e+01  1.682e+01
1800    4.400e+01  1.898e+01  2.502e+01  3.957e+01  2.281e+01  1.676e+01  3.957e+01  2.281e+01  1.676e+01
